Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
0.0,0.115922331094471,0.0193080644451824,0.00811456609000597,0,0.00186051869534652,0.0963458071479089,0,0.755475318967429,0,0.00297339355965625,0,0.591305638169874,0.853116937299955
6.0,0.478486448634133,0.24809914593794,0,0,0.033485816411923,0,0.239928589016004,0,0,0,0,0.632056793241379,0.795737329101302
7.0,0.210885987469239,0.577485111530617,0,0,0.185720865459987,0,0,0.0259080355401576,0,0,0,0.481493342493013,0.884060866789859
8.0,0.1826826924116,0,0.0637411649052392,0,0.0498519464220353,0.107632745882705,0.31980477269055,0.271616142538255,0,0.00467053514961518,0,0.611310120041037,0.792322021011581
10.0,0.334540079245078,0,0.260252737968437,0,0.0142424558403431,0.0426338282654873,0.0628063562592057,0.285524542421449,0,0,0,0.5805424615311,0.814388530016069
12.0,0.0330245960116861,0.0191872055146552,0,0,0.049745054693632,0,0,0.898043143780027,0,0,0,0.581941900956207,0.893090134259619
13.0,0.163387049871574,0.0504728526918524,0.0203052644463344,0,0,0.175994905583635,0,0.342702195728256,0.243514201122007,0.00362353055634136,0,0.565786135035476,0.842488047696405
16.0,0.33811071473439,0.0382298754438971,0,0,0,0.0747599986842898,0.0548791555729552,0.490003530230105,0,0.00401672533436268,0,0.611912506184471,0.79283057911829
17.0,0.164002924304757,0.506414705844013,0,0,0.194129057906017,0.0259729071740346,0,0.109480404771178,0,0,0,0.583084228732077,0.811909094541539
18.0,0.135263373500544,0.158034564439906,0,0,0.304162084317216,0.0257760626698638,0,0.37676391507247,0,0,0,0.630685909828171,0.776814016177176
20.0,0.111052360343603,0.807537911485672,0,0,0.0506273686605007,0,0,0.0307823595102244,0,0,0,0.519330786992069,0.879330358269847
22.0,0.429786219307603,0.441417099604603,0,0,0,0.0858458587772633,0.0258806014624518,6.98267532393908e-05,0,0.0170003940948396,0,0.630092020958339,0.790048023171953
23.0,0.000370423808647739,0.00178482091853598,0,7.25854589890352e-05,0,0.143429297343158,0,0.854321877028787,0,2.09954418821305e-05,0,0.538993297669629,0.948409991739364
24.0,0.845438316242893,0.0294253382300449,0,0,0,0.0414246507788227,0,0.0657357193781525,0,0.0179759753700872,0,0.684340019252628,0.773836519660723
25.0,0.622117273479572,0.209042647877999,0.000853395932621016,0,0.00767684582254729,0.0445838470360688,0,0.115725989851192,0,0,0,0.674050134449696,0.778416730261897
26.0,0.59175609752849,0.327614558107587,0,0,0.0097314742484953,0.0695586703233993,0,0,0.00133919979202785,0,0,0.608464844282404,0.81257903082061
28.0,0.85595182961085,0.111887456697658,0.0024690975250096,0,0.0077299869850617,0.0211931726960316,0.00076845648538889,0,0,0,0,0.746361461626602,0.747115443454789
