Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-BB-4224-01A,0,0,0,0.00222382323926189,0,0.990669056620368,0,0.00710712014037016,0,0,0,0.575811873169072,0.845308405173805
TCGA-H7-7774-01A,0.0114151984158302,0,0,0.00847578404751475,0,0.974665078503772,0.000605534716337506,0.00483840431654532,0,0,0,0.52438952748853,0.888417019383471
TCGA-CV-6943-01A,0.0244283680913747,0,0.0251692726712217,0.070745001692281,0.0059074102006283,0.846406196782511,0.000336925684902136,0.00182481629695187,0,0.0251820085801292,0,0.566474306443522,0.831883196754908
TCGA-CN-5374-01A,0,0.0727799792029288,0.0408764989404483,0.0246526288323914,0.00785232634170556,0.794967218341372,0,0.0197442370658824,0.00611649423319762,0.0330106170420735,0,0.328759382407156,0.993762906414825
TCGA-CQ-6227-01A,0.00639893535104804,0,0.130964151797673,0,0,0.804021169836375,0.000396931929095967,0,0.0480201037880384,0.0101987072977695,0,0.753463698308768,0.665772746314775
TCGA-CV-6959-01A,0,0,0.015469232247859,0.0177892482161459,0,0.904666417947648,0,0.000410191943595541,0.0481312668300331,0.0135336428147187,0,0.703586823003666,0.710818873712337
TCGA-F7-A61V-01A,0,0,0,0,0,0.975897359524759,0,0.0015085189470575,0.0225941215281831,0,0,0.685559425595768,0.733930217451516
TCGA-CV-7413-01A,0.00652494819607281,0,0.0245556755508895,0.0109278554956359,0,0.957824249763437,0,0.000167270993964744,0,0,0,0.726478075882041,0.688209857753255
TCGA-CV-7247-01A,0,0,0.04042086802052,0,0,0.868299585757949,0,5.55989584974208e-05,0.0709950565308063,0.020228890732227,0,0.649845061194496,0.761397907811366
TCGA-CR-5249-01A,0,0.0389359409574709,0.0291652204804633,0.0543186276909751,0.0163510071393646,0.790708673597592,0,0.0322930735439292,0,0.0382274565902051,0,0.31221894404337,1.00386491590913
TCGA-CQ-5331-01A,0.00444094833562289,0,0,0.0358385696626771,0,0.959574267151313,0,0.00014621485038665,0,0,0,0.76591755622394,0.642865893389599
TCGA-BB-8601-01A,0,0,0.00213485222757777,0,0.00136485749588827,0.989042522041543,0,0,0,0.00745776823499108,0,0.650091404759892,0.772504995056603
TCGA-CV-A45W-01A,0,0,0.122383400612325,0.117157550179407,0.118064949273304,0.557323417803491,0,0,0,0.0850706821314725,0,0.467618611550274,0.884540466370071
TCGA-CQ-7063-01A,0.00439644945535523,0,0.00347699929736458,0.0360520247241331,0,0.946854782546228,0,0.00921974397691867,0,0,0,0.738783984955515,0.674112584198411
TCGA-CN-5373-01A,0.002267970529967,0,0.0146050518041957,0.032767273764659,0,0.938402074161283,0,0.00720446115692473,0,0.00475316858297062,0,0.661500810048733,0.755134800622678
TCGA-CV-A45T-01A,0.00656280591496655,0.0008461085180918,0.00965081745227936,0.0205357722077573,0.0017568714722534,0.94048304141665,0,0.0029918245654103,0.011688738838209,0.00548401961438195,0,0.814842338609349,0.583032589786217
TCGA-HD-A4C1-01A,0.00541197507650553,0,0,0,0,0.994489585180516,9.84397429781864e-05,0,0,0,0,0.690377447772403,0.73073205058018
