"","B-cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T-cell","tumor"
"0",0.0081145660900059,0,0,0.115922331094471,0.0963458071479089,0.0029733935596562,0,0.0018605186953465,0.755475318967429,0.0193080644451824
"6",0,0,0.239928589016004,0.478486448634133,0,0,0,0.033485816411923,0,0.24809914593794
"7",0,0,0,0.210885987469239,0,0,0,0.185720865459987,0.0259080355401576,0.577485111530617
"8",0.0637411649052392,0,0.31980477269055,0.1826826924116,0.107632745882705,0.0046705351496151,0,0.0498519464220353,0.271616142538255,0
"10",0.260252737968437,0,0.0628063562592057,0.334540079245078,0.0426338282654873,0,0,0.0142424558403431,0.285524542421449,0
"12",0,0,0,0.0330245960116861,0,0,0,0.049745054693632,0.898043143780027,0.0191872055146552
"13",0.0203052644463344,0.243514201122007,0,0.163387049871574,0.175994905583635,0.0036235305563413,0,0,0.342702195728256,0.0504728526918524
"16",0,0,0.0548791555729552,0.33811071473439,0.0747599986842898,0.0040167253343626,0,0,0.490003530230105,0.0382298754438971
"17",0,0,0,0.164002924304757,0.0259729071740346,0,0,0.194129057906017,0.109480404771178,0.506414705844013
"18",0,0,0,0.135263373500544,0.0257760626698638,0,0,0.304162084317216,0.37676391507247,0.158034564439906
"20",0,0,0,0.111052360343603,0,0,0,0.0506273686605007,0.0307823595102244,0.807537911485672
"22",0,0,0.0258806014624518,0.429786219307603,0.0858458587772633,0.0170003940948396,0,0,6.98267532393908e-05,0.441417099604603
"23",0,0,0,0.0003704238086477,0.143429297343158,2.09954418821305e-05,7.25854589890352e-05,0,0.854321877028787,0.0017848209185359
"24",0,0,0,0.845438316242893,0.0414246507788227,0.0179759753700872,0,0,0.0657357193781525,0.0294253382300449
"25",0.000853395932621,0,0,0.622117273479572,0.0445838470360688,0,0,0.0076768458225472,0.115725989851192,0.209042647877999
"26",0,0.0013391997920278,0,0.59175609752849,0.0695586703233993,0,0,0.0097314742484953,0,0.327614558107587
"28",0.0024690975250096,0,0.0007684564853888,0.85595182961085,0.0211931726960316,0,0,0.0077299869850617,0,0.111887456697658
