	B cell	Dendritic	Endothelial	Fibroblast	Macrophage	Mast	T cell	myocyte	other	tumor
C9orf152	0.0	0.1373961	0.079070084	0.007264958	0.0	0.0	0.0030529464	0.0	0.18569297	0.0363285
RPS11	6.382861	6.2215247	6.3552623	5.912589	6.149391	5.04094	4.497179	5.6318545	6.313855	6.650737
ELMO2	0.22045797	1.4549954	0.73115116	0.76013243	0.955509	1.1397965	0.5204217	0.6514778	0.7161327	1.1665086
CREB3L1	0.0	0.0	0.03897446	0.1406663	0.0	0.0	0.0016620269	0.0	0.422371	0.015765304
PNMA1	0.40010363	1.9527516	0.88338083	1.1126947	0.0	0.50106955	0.41870028	0.3291754	0.44945744	1.1995177
MMP2	0.06635838	0.0	2.6063828	2.2884786	0.88058525	0.14300333	0.004697795	0.0	0.52075964	1.0765272
TMEM216	0.11581006	0.0	0.39154217	0.3787694	0.7276525	0.5762288	0.31181195	0.7710719	0.5542114	1.4042757
TRAF3IP2-AS1	1.1154232	1.081172	1.2145377	1.1498826	0.8921953	1.4430618	1.3476614	0.73538595	1.290832	0.7520903
LRRC37A5P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008252389	0.0018441034
LOC653712	0.11135572	0.18107057	0.22930025	0.17917317	0.38679805	0.20860957	0.18835726	0.2885095	0.28075308	0.20949607
C10orf90	0.0	0.0	0.03768539	0.031577088	0.0	0.0	0.0027427035	0.0	0.16149378	0.078164
ZHX3	0.27916187	0.34403393	1.0429428	0.7129704	0.43209913	0.25139505	0.5586022	0.3821507	0.5974384	0.43786657
ERCC5	0.19791532	0.95545036	0.40860978	0.5907177	0.99228746	0.720237	0.83389765	0.56772983	0.44374344	1.124476
GPR98	0.0037376694	0.0	0.01197033	0.013110068	0.0	0.0	0.00810799	0.0	0.18557355	0.5534929
RXFP3	0.0	0.0	0.0	0.006750157	0.0	0.0	0.0	0.0	0.0	0.0018158845
CTAGE10P	0.018960401	0.0	0.043176617	0.0059729395	0.02658518	0.010375908	0.024130413	0.0	0.017351849	0.007803389
APBB2	0.06122947	0.141491	1.6829468	1.2298491	0.2640758	0.08425225	0.14332363	0.76083654	0.86802876	1.1673094
KLHL13	0.0	0.0	0.1336973	0.31946704	0.0	0.0	0.0005466935	0.0	0.13680008	0.5118974
PDCL3	0.8554374	3.628675	1.3911054	0.8763613	2.171667	1.0698084	1.9131441	1.0663102	1.4384371	3.0449302
AEN	1.0286636	0.104935735	0.8801759	0.3863669	0.30383232	0.10284896	0.38127014	0.5587729	0.57217723	1.0692642
FRG2	0.03646638	0.0484206	0.032990817	0.022367803	0.0	0.015859831	0.036982372	0.120447546	0.035845343	0.0214784
DECR1	0.83539444	0.9752398	2.1568453	1.3543061	2.562026	1.5723499	0.80095214	2.4977343	1.4738451	3.30714
