	B cell	Dendritic	Endothelial	Fibroblast	Macrophage	Mast	T cell	myocyte	other	tumor
C9orf152	0.0	0.12931398	0.052884534	0.00546142	0.0	0.0	0.0028048418	0.0	0.18034953	0.035202615
RPS11	6.4929166	5.8555527	6.375462	5.9982314	6.124608	4.8813286	4.4730806	5.786865	6.2498703	6.651266
ELMO2	0.23167963	1.3694074	0.7384434	0.8121146	0.72399926	0.9658554	0.536432	0.5486129	0.67033523	1.1627786
CREB3L1	0.0	0.0	0.026067335	0.17688866	0.0	0.0	0.0015269585	0.0	0.43722054	0.014168242
PNMA1	0.4532249	1.8378838	1.0656785	1.151217	0.23022865	0.48236603	0.41023216	0.5385733	0.43236616	1.2191104
MMP2	0.07907446	0.0	3.0123415	2.4142148	0.6003991	0.11172135	0.009048338	0.0	0.59361917	1.0523262
TMEM216	0.15890528	0.0	0.43670738	0.43348926	0.7563422	0.47620726	0.33009386	0.6493237	0.50709534	1.3728324
TRAF3IP2-AS1	1.1604536	1.0175737	1.169286	1.1183118	0.85882616	1.4052953	1.3246237	0.91472876	1.2368208	0.75802976
LRRC37A5P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067549795	0.0014668797
LOC653712	0.14779238	0.17041935	0.19858521	0.1688782	0.33138055	0.25612384	0.18035221	0.24295537	0.25177515	0.20482725
C10orf90	0.0	0.0	0.025205163	0.03750475	0.0	0.0	0.0025198117	0.0	0.13219048	0.0702529
ZHX3	0.31295928	0.32379663	1.002462	0.7126882	0.33943698	0.38676652	0.55867344	0.4852526	0.56553376	0.4271567
ERCC5	0.4224276	1.2174201	0.3671774	0.6267728	0.6765596	0.5626852	0.82891196	0.4780883	0.52087027	1.0831153
GPR98	0.0026848048	0.0	0.008006129	0.010050527	0.0	0.0	0.0074490765	0.0	0.16165608	0.5493369
RXFP3	0.0	0.0	0.0	0.005074419	0.0	0.0	0.0	0.0	0.0	0.0014444331
CTAGE10P	0.029554797	0.0	0.0334111	0.0049384185	0.018126259	0.008106178	0.022169402	0.0	0.014203329	0.0106375655
APBB2	0.06759553	0.133168	1.8134874	1.3137931	0.22939661	0.09348966	0.14425384	0.64070445	0.8594409	1.152316
KLHL13	0.0	0.0	0.24020602	0.34202993	0.0	0.0	0.00050226523	0.0	0.11197748	0.518152
PDCL3	0.8692065	3.4152234	1.5723096	0.96099794	1.9803876	1.2366114	1.9470991	1.1362633	1.386853	2.996394
AEN	0.9772489	0.09876305	0.8998868	0.4244398	0.3597751	0.08035075	0.386756	0.47054565	0.5750084	1.1022648
