	B cell	Dendritic	Endothelial	Fibroblast	Macrophage	Mast	T cell	myocyte	other	tumor
C9orf152	0.0	0.5331751729261894	0.4472540753666675	0.13099964242061723	0.0	0.0	0.04973231425305529	0.0	0.8952009397662863	0.3641942438321287
RPS11	1.5690834287082962	2.4150824417153314	1.6265817803079219	2.1392460409821115	2.0894649669846417	2.8930288787425757	3.2156802607540977	2.6005618586862913	2.4534885744345027	0.8709088740248585
ELMO2	1.0248162821056808	2.537175455540392	1.8033445802654866	1.9011227528550412	1.6961608341215435	2.1388828423465926	1.759074279766788	1.6432997558480416	1.709333510364864	1.894297890069357
CREB3L1	0.0	0.0	0.32348711193217866	0.8394892745499938	0.0	0.0	0.04114296161188197	0.0	1.4158103608424037	0.19059636484068432
PNMA1	1.600211560466239	2.7146071431245673	2.176253223785522	2.299640556487327	1.0798680452481035	1.6730296627052192	1.5385025342242098	1.5068345923760482	1.4259131436413581	2.020959359298031
MMP2	0.35947764287509515	0.0	2.991018013929904	3.276111084730332	1.5462730521204218	0.7222936721424583	0.08829013644133461	0.0	1.6857360382076365	1.9333556774014873
TMEM216	0.9410684627981082	0.0	1.5255199870474194	1.4915630393210078	1.7224346629273486	1.5973331418530377	1.4396085585797593	1.9463017570285226	1.5695676437592474	2.174529701995076
TRAF3IP2-AS1	1.139211398364969	0.6144529536532244	1.4231182181120465	1.275400071981756	0.7097224439512376	1.43126313699029	0.9274855112059867	1.0939245315889947	1.2322153694431226	0.9072869002340137
LRRC37A5P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10637752340552688	0.04737455376097166
LOC653712	0.6430858861177678	0.4875968939271076	0.6543049276346512	0.6355192945050436	0.752499006675271	0.7067741218148915	0.6335936348060047	0.7311403121824558	0.7016320053369065	0.6023325280755242
C10orf90	0.0	0.0	0.31278784966187395	0.4272364557713387	0.0	0.0	0.06789478055178405	0.0	0.9393516032689724	0.5244518146577869
ZHX3	0.6640128055963588	0.2946625549408171	1.3607487098452915	1.25444700782204	0.5886225571839381	0.7000848758790431	0.6380502210051447	0.7934542815720123	0.7073601885276048	0.7869729538952731
ERCC5	1.2921496194754751	2.076613593206039	1.258136056602758	1.6722011580745826	1.491473430947831	1.7725463162260762	2.061033988094504	1.46936393594081	1.4597117738402772	1.735446233629762
GPR98	0.022622566979029753	0.0	0.04630947021478417	0.1953249794767824	0.0	0.0	0.1425256625400785	0.0	0.6737968656213694	1.0159214671574042
RXFP3	0.0	0.0	0.0	0.1716324216886158	0.0	0.0	0.0	0.0	0.0	0.04752457551115838
CTAGE10P	0.1753821363041934	0.0	0.27796221314726116	0.08663932361296732	0.08501968992298191	0.06484942138195038	0.15330763394551256	0.0	0.19632868065806405	0.11008329177116757
APBB2	0.19801767654875388	0.3839550478570094	1.9010274156121483	1.7813627329954151	0.40992015957802674	0.22400240533018898	0.2834358110817153	1.5928271250562998	1.5162121240960578	1.481788932150826
KLHL13	0.0	0.0	1.0889155422957248	1.3198718707222363	0.0	0.0	0.01353322882901935	0.0	0.7016596381744549	1.3752100717567772
PDCL3	2.091181126850575	3.411645375951841	2.5128500999893806	2.1820802713105354	2.718558630315926	2.488590969124029	3.1311179741186734	2.0178077604149065	2.503689614896762	2.4017257841913233
AEN	2.0909275954614763	0.4072104670309093	2.0265348964963987	1.402292230352816	1.0775202851945298	0.6428059935569763	1.4896016026808598	1.4530743135061548	1.5364103276274803	1.7840028932484764
FRG2	0.18202365985110353	0.1298981246909672	0.13305370965623697	0.12986884572017615	0.0	0.12441656758833276	0.1511337259228792	0.44212099543039085	0.1550193459590469	0.17966426490014903
DECR1	1.976742661918196	2.072457120078381	2.865383858696711	2.568627601831277	2.72981570705234	2.5152278057839905	2.1862990153742436	2.9225561447181407	2.551529766814207	2.502478851669775
