,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell,myocyte,other,tumor
TCGA-BB-4224-01A,0.11015460161850492,0.08227573764686122,0.09058049141577401,0.07377182999792296,0.09213440366854529,0.06289779871704654,0.04830301039319486,0.017254622430707554,0.06230218239547719,0.36032532171596543
TCGA-H7-7774-01A,0.10948672576254652,0.07563719202972323,0.07634622518636175,0.07507211624781349,0.09639253219996022,0.06837751511298551,0.0533829991961671,0.005999442029915556,0.07080885468374316,0.36849639755078334
TCGA-CV-6943-01A,0.13084046201843516,0.0729670196158772,0.06804536601270636,0.06209940209727158,0.136764324036284,0.07405072788644892,0.056634578831483734,0.015060380544672037,0.05186850409340593,0.33166923486341504
TCGA-CN-5374-01A,0.10747411059801777,0.07877792278969845,0.09111110681815984,0.06503509721923124,0.11507925950401673,0.05256863371082226,0.066566918825228,0.0070954096923114525,0.2746396372700408,0.1416519035724734
TCGA-CQ-6227-01A,0.11883345250265809,0.07099851246561344,0.06776287290347657,0.04393061508015874,0.09918318840849055,0.06012211772156643,0.05533326720560533,0.008572941998326323,0.04929105374906015,0.42597197796504427
TCGA-CV-6959-01A,0.12561158009377066,0.07427970295601331,0.06635186310099211,0.0508052254988384,0.09717633863769745,0.06999648564075152,0.04121555765468753,0.014872354918145592,0.054102437555529966,0.4055884539435735
TCGA-F7-A61V-01A,0.10696357151541452,0.06328647462463947,0.0841246455045312,0.07622076071267525,0.08987799509979615,0.06239424186954735,0.05274975965243975,0.0228523370795214,0.07597921819077269,0.36555099575066247
TCGA-CV-7413-01A,0.11769668800451115,0.08410006954520655,0.08401603094246511,0.04426615707129389,0.10695753841646344,0.06711295278507895,0.04789587926996514,0.009085265324816388,0.04535445322006648,0.3935149654201331
TCGA-CV-7247-01A,0.11156753310639916,0.06890028906178965,0.08805768408451323,0.0676827163752376,0.08593389305371213,0.06288007170309917,0.050081802402765115,0.04276543454561069,0.03787749308088247,0.3842530825859908
TCGA-CR-5249-01A,0.1288228477903417,0.05859525079854865,0.08310691305506823,0.05956308046800693,0.10971954613572311,0.07300842508894757,0.052527382838536196,0.01779903732399008,0.17434935206376428,0.24250816443707326
TCGA-CQ-5331-01A,0.12291646859824376,0.06232388684483829,0.08262731615466024,0.07810696102837011,0.1082111373644763,0.0651976096616279,0.05327617649128614,0.01598521070480384,0.04620843190758441,0.36514680124410903
TCGA-BB-8601-01A,0.10290399570535334,0.07827055928169174,0.08129008597445957,0.08823663221622254,0.06428951571019478,0.06866307284451637,0.06803355505751975,0.026831550378357327,0.09489665146113829,0.32658438137054635
TCGA-CV-A45W-01A,0.11585405984222813,0.07568198003248772,0.08783487409286975,0.07917336023348155,0.09596838742441281,0.06352979600876862,0.05861923317835954,0.006792530793572849,0.0741643484181809,0.34238142997563814
TCGA-CQ-7063-01A,0.11555964316687765,0.07801809492356969,0.08998281076605387,0.0874838458424399,0.09283508071554324,0.06699333324086386,0.06530607638751917,0.00606914491667141,0.06391667969114666,0.33383529034931464
TCGA-CN-5373-01A,0.04875999955103381,0.08914060731151918,0.10208851530330665,0.04499288377362662,0.10366208613110243,0.07240695384614815,0.05925039482333872,0.007109791189581598,0.08493382452615666,0.3876549435441861
TCGA-CV-A45T-01A,0.1185183005004054,0.07094843224286379,0.07783726820440413,0.06360205090983297,0.10027036599101291,0.0631179374320528,0.0576223001806946,0.011413414593871648,0.0688025618556724,0.3678673680891894
TCGA-HD-A4C1-01A,0.06261744296754249,0.07645143915018697,0.0926262594276526,0.08117682226721518,0.09466762528789165,0.06341299629792353,0.054929777127924066,0.011374077058948157,0.07556361052719193,0.38717994988752347
TCGA-CV-7438-11A,0.11812103926556063,0.07488448393472204,0.08807759876925808,0.04865550311171258,0.08779034166296822,0.06501671520907377,0.05548164610681525,0.00738330410861033,0.05719916024578253,0.3973902075854965
TCGA-CV-5444-01A,0.13168980581717832,0.05584279288525493,0.07417593585770813,0.09409600074252658,0.13038705117938384,0.0743130757425801,0.06803083985252556,0.05703815880792019,0.07858362222496044,0.23584271688996208
