,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell,myocyte,other,tumor
TCGA-BB-4224-01A,0.04342776571327877,0.04294064204676833,0.04335987122600401,0.07793158468436041,0.038775492165287105,0.047368729470034364,0.042303564464627325,0.03464285093530924,0.04735164766539263,0.5818978516289379
TCGA-H7-7774-01A,0.0435303450118198,0.04280177336804781,0.04903423661830528,0.04795390425331407,0.04089780386062655,0.046453217899084985,0.04541646155054426,0.04582229856086823,0.039785881030411696,0.5983040778469773
TCGA-CV-6943-01A,0.039347326706062766,0.04113292347764831,0.03055692806077461,0.2115931246094353,0.055991011788783046,0.051234697482148435,0.032050263661207105,0.032113730824912666,0.04427189324633874,0.4617081001426891
TCGA-CN-5374-01A,0.041545875887788984,0.04670734347754631,0.04171804967763765,0.12425430665625148,0.04643665775418945,0.04206759631388824,0.046401242858176095,0.03905513887272156,0.3281268908745473,0.24368689762725296
TCGA-CQ-6227-01A,0.042920663649778916,0.036032257110603746,0.04773866121010737,0.1327043614538931,0.040427476268422496,0.04876745556538677,0.047017907236008634,0.03238045120764847,0.03415707202718894,0.5378536942709615
TCGA-CV-6959-01A,0.04197143209226498,0.03929627387143666,0.04043316254296628,0.10594971773584298,0.037313576648120225,0.048890800152555695,0.04712629517437815,0.0339157487369946,0.045867196834308815,0.5592357962111316
TCGA-F7-A61V-01A,0.04413176773767129,0.04541032208724839,0.05096195047714093,0.040863422113466066,0.04293369908221009,0.03741598450322147,0.04213555138312826,0.0374260214860896,0.050335497217107325,0.6083857839127167
TCGA-CV-7413-01A,0.042022640029054335,0.042708148331172105,0.044061453385784745,0.13677669739506612,0.036679553344885166,0.037382245357138605,0.0446351608019272,0.03799133214134129,0.04761834837736623,0.5301244208362642
TCGA-CV-7247-01A,0.03984120891318017,0.03778062771666032,0.08788457390749696,0.04328029823541386,0.04206971744554786,0.04934774785581439,0.0444251356573209,0.05926003175197791,0.2360534910429384,0.3600571674736492
TCGA-CR-5249-01A,0.036956564724969596,0.04777173280025705,0.048804141271047825,0.06735028788603757,0.059798317474054244,0.027449495481409417,0.05062917483203044,0.046155142887172776,0.4909349820451701,0.12415016059785101
TCGA-CQ-5331-01A,0.03891221691811314,0.03345089947765155,0.0376870895167367,0.07250367100879271,0.04419137196163938,0.04914301577597165,0.048806088705145044,0.036457136204342704,0.04125365989613501,0.597594850535472
TCGA-BB-8601-01A,0.0435834890106191,0.04022136767817072,0.053069219074473824,0.04160884054953413,0.044022393216697236,0.04063350791196336,0.04936119430270091,0.04894464084256789,0.04037143918304042,0.5981839082302324
TCGA-CV-A45W-01A,0.05245690346663118,0.04907884598421916,0.09563761633171275,0.09572025303507359,0.06420844594747606,0.05022684779079313,0.0540718581255063,0.04628286056579851,0.060325905065841796,0.43199046368694755
TCGA-CQ-7063-01A,0.03843967639439774,0.047420021184108506,0.05009841737853623,0.08496114761817228,0.04553639901369422,0.051694186181970185,0.045270697090214494,0.046435393699011014,0.03680877998803115,0.5533352814518643
TCGA-CN-5373-01A,0.044113964799710366,0.03711966636797283,0.04505931476142151,0.12530860245964717,0.03819475073789731,0.050087338112209195,0.04855545586473699,0.04179813368015305,0.0358165194086779,0.5339462538075737
TCGA-CV-A45T-01A,0.04136762270538436,0.04610362177509955,0.045797782234581245,0.12536260086586323,0.03935286330577501,0.0358609677961788,0.05112046616314296,0.03989595929969821,0.039999526564165645,0.535138589290111
TCGA-HD-A4C1-01A,0.04177707543596384,0.04432718190488405,0.04648377017298336,0.07738062219416024,0.04147362244012499,0.04135986951535007,0.043834661814963524,0.038572007974048673,0.046414312022654856,0.5783768765248665
TCGA-CV-7438-11A,0.040686567958645,0.048486465574683994,0.047814588878099515,0.08702892850788232,0.04776888600552063,0.03611623391834697,0.051834090582093054,0.04288692606858988,0.0917495510211559,0.5056277614849827
TCGA-CV-5444-01A,0.042325667064295226,0.048373922495017756,0.052342806514419006,0.29425473473328695,0.06962227068847367,0.048540425118605415,0.1095600883672923,0.049005500722882685,0.15832555712849755,0.12764902716722953
TCGA-BA-5556-01A,0.042165376478349274,0.042585930902995256,0.04063190075612056,0.10450600670108552,0.043473543344784336,0.04950035981715771,0.047312380044524954,0.04153559866429487,0.0474662832146005,0.5408226200760871
TCGA-P3-A6SX-01A,0.044304282586420524,0.042540215385394285,0.07935857679805447,0.07780106831083226,0.04123456225786615,0.04637498147529265,0.03674263423080709,0.03392777831299873,0.04908152477678768,0.5486343758655462
TCGA-CV-7242-11A,0.042695030200672404,0.04302425736155059,0.06736096233817991,0.058038231236521395,0.05909668929209842,0.04920683709292566,0.05022826414965604,0.04178310492331232,0.04933139230769388,0.5392352310973894
TCGA-DQ-7592-01A,0.03866044491666868,0.0387138161141761,0.040826806782195815,0.13248187066108455,0.0369235129237222,0.04544224872164614,0.038663490257733545,0.03404222285392956,0.04399555353294146,0.5502500332359019
TCGA-CV-6937-01A,0.045569842353849144,0.048556138920514524,0.0481201427838107,0.07174776635824776,0.04515324580973442,0.03843189891032651,0.03806070979286784,0.04462706599453845,0.037579590716124794,0.5821535983599858
TCGA-QK-A8ZB-01A,0.03861778818958767,0.04134331439640117,0.03705331307942379,0.07887787562142058,0.035851926681562236,0.04412695637942459,0.042905095336804595,0.03926095484389719,0.04464997426309511,0.5973128012083831
TCGA-CV-7432-01A,0.04329592644426002,0.04171880974330447,0.04791798343724568,0.04330835063610975,0.040795214124832835,0.04162641186619409,0.03979877899621586,0.044796625177897675,0.04598377986889146,0.6107581197050482
