,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell,myocyte,other,tumor
TCGA-BB-4224-01A,0.03563778250043097,0.10474828276182672,0.12183985016993945,0.06879217932241154,0.089074204635461,0.054300679607506605,0.051115791934777624,0.0818260179312203,0.08941742953206248,0.3032477816043634
TCGA-H7-7774-01A,0.030522232343802254,0.08032880647022898,0.10742652747285843,0.07575062107406354,0.07826380023208797,0.08386049163033639,0.0628264869477566,0.06667282860483505,0.08181856488210969,0.332529640341921
TCGA-CV-6943-01A,0.02821662096284808,0.0986047583710015,0.12004602343558111,0.05851824206329053,0.12440120785018695,0.10082772477409048,0.06707145813022394,0.040957894407333696,0.008133302265495962,0.3532227677399477
TCGA-CN-5374-01A,0.0333631599820199,0.08513093203593085,0.11769351453808678,0.0820991101651201,0.11117748935272026,0.06673215623626784,0.07203646523969705,0.06837933354551413,0.2271228102693995,0.13626502863524365
TCGA-CQ-6227-01A,0.02261187388757224,0.0817964997724045,0.12043793731450066,0.05798037058725957,0.06448942044175414,0.09827437656576439,0.07221412799292448,0.043243080718575286,0.01331825232150674,0.4256340603977381
TCGA-CV-6959-01A,0.016367458259361006,0.0892422213002121,0.11991882397393605,0.05473063530200819,0.0730805577086179,0.10219815021354221,0.05466861372086314,0.047240511571402403,0.045408925415741465,0.39714410253431565
TCGA-F7-A61V-01A,0.034057425057015166,0.10674846027521488,0.11462246814018104,0.07823800099648529,0.08246506387103521,0.07411502391515071,0.04433170537265088,0.0778292748556385,0.08042136120002351,0.3071712163166048
TCGA-CV-7413-01A,0.033250323052954646,0.08883276646044357,0.13718575761207827,0.08418931730587387,0.08050927740656771,0.05063910996030903,0.04727153599449855,0.06141846282784593,0.060651514118815544,0.3560519352606129
TCGA-CV-7247-01A,0.026265650414098268,0.08714835324272145,0.09127150558865285,0.12027447734681722,0.06400706716774802,0.07548143756610945,0.039093450435962365,0.0827041186438467,0.04941581595238164,0.36433812364166196
TCGA-CR-5249-01A,0.03844674001174835,0.05969088822830784,0.10506534789764728,0.11452217509713186,0.09513724813895426,0.0782177629245841,0.05802261641763518,0.05399334230572462,0.26625750364625345,0.1306463753320132
TCGA-CQ-5331-01A,0.02479672250927368,0.08493887204872887,0.09856175180790461,0.08599365987841258,0.10271598316794672,0.10094274748663618,0.05704087550571439,0.04706571045826247,0.04838118837489812,0.34956248876222246
TCGA-BB-8601-01A,0.0427261474936266,0.09683946422919676,0.09369962308637594,0.07890802636355246,0.061114024617422866,0.07289448176321123,0.057870687204920876,0.07765514477483922,0.11051571266654499,0.30777668780030903
