"","B-cells","CD14-cells","CD8-cells","Endothelial","Fibroblast","Macrophage","Mast","NK-cells","pDC-cells","Tconv-cell","Treg-cells","tumor"
"TCGA-BB-4224-01A",7.52123718031465e-07,2.92309235693637e-05,0.0053540500782983,0.0189948087140598,0.0190890154477294,0.0166706647408263,0.000178383103267496,0.00494372037494029,0.00103263012833,0.00606547535226764,0.000304652464039119,0.927336616548954
"TCGA-H7-7774-01A",0.000247402208234681,1.64229810194991e-05,0.00656549373136111,0.0128169193053916,0.00052437552166776,0.0172624294163599,0.000509702030296116,3.10885706815729e-05,0.00107754946721682,5.74671536457259e-07,0.000714489864134404,0.9602335522321
"TCGA-CV-6943-01A",0.00379846297599802,4.15026549720869e-06,0.0160574226075141,0.0387153244217151,0.380978230689239,0.132247282639545,0.000772822097342035,7.29943523587819e-07,0.00271897047639086,2.68898663987457e-07,0.00188307346526763,0.422823261519303
"TCGA-CN-5374-01A",0.00562061206663126,0.00220396263200261,0.0147909302472396,0.0377626492690539,0.022563766827025,0.0428041274964394,0.000540761112904928,0.00375345507712552,0.00641109797887649,0.0130606127119073,0.0201043394488509,0.830383685131943
"TCGA-CQ-6227-01A",2.8474485006388e-07,1.27462880400615e-06,1.35285659427092e-06,0.088821628614395,0.241242189449851,0.00258808543327275,5.01212565898935e-07,4.40498726434991e-06,1.88638681756491e-06,0.126313839462328,8.88012659534979e-07,0.541023664210597
"TCGA-CV-6959-01A",0.000550974482996686,5.06418277961115e-06,0.00234765028013052,0.0751359804794062,0.0868143814998778,0.0280312136275423,3.41767704393783e-07,0.00395510505421366,1.35122609659837e-05,0.111980834948957,5.51634616022865e-06,0.691159425069266
"TCGA-F7-A61V-01A",0.000355300883489658,2.9592236107265e-06,0.000567021559544808,0.0186439707289641,0.0239154963864661,3.34671988462223e-06,4.33258422280485e-07,0.00104291727091776,0.00155008210822132,0.056357284158303,0.00231052002885699,0.895250667673319
"TCGA-CV-7413-01A",3.58761718771189e-05,1.33958092674054e-06,0.00672479805353292,0.0139433305923539,0.237810974354328,0.0401722388439886,0.000140493407521368,2.3944742962399e-06,3.14435022174622e-06,2.71270172684974e-07,0.000894417737184599,0.700270721163596
"TCGA-CV-7247-01A",2.21208756053766e-07,4.94308169842481e-07,5.18907389844973e-07,0.0487013506711087,0.148518744448786,7.20025238859248e-07,1.80696408246662e-07,5.45522131813826e-07,3.39562083500664e-07,0.13707862601671,4.84629804726873e-07,0.665697774003412
"TCGA-CR-5249-01A",0.0085017972710508,0.00405552018397111,0.013711038933402,0.0544890614301048,0.044357695754661,0.0668747077721765,0.00111275496222227,0.0121841562267444,0.0136050689243506,4.21391206786567e-07,0.0165641099982206,0.764543667151889
"TCGA-CQ-5331-01A",0.000573375846395978,3.48681179246794e-06,0.00974296759556916,0.0579411661729718,0.0407393113787094,0.103727156879951,7.20721358939563e-05,2.57932966212647e-06,0.00309698511190177,2.11828897395944e-07,0.00174708967803789,0.782353597230217
"TCGA-BB-8601-01A",0.00173147937640877,2.66107146153246e-06,1.34184807584188e-05,0.0137750178025864,0.00775733900637044,2.34403145059953e-06,0.000736997848932655,0.00120321408719184,3.64354343883006e-06,1.29955461083499e-06,8.56943336202357e-06,0.974764015763428
"TCGA-CV-A45W-01A",0.0530475518900373,4.6684494506548e-06,0.00998846494416693,0.0811874620224924,0.100373642601932,0.0897289765585124,0.000701986202301274,0.00499998837429371,0.00615342643978122,7.63446467628756e-07,0.00880078649095811,0.645012282579606
"TCGA-CQ-7063-01A",1.30727309214238e-06,5.57127731366441e-06,0.00959458972347684,0.0352295298966304,0.0157717693223223,0.107198913977345,0.000616093954050525,1.74747925016059e-05,0.00266851246413376,6.39526327808721e-07,0.000937264871759714,0.827958332921046
"TCGA-CN-5373-01A",6.84917399847273e-05,1.35226977121267e-05,0.0108506425898667,0.0262125842519851,0.229966736062452,0.0422019040925435,0.000474549911746542,5.93301213905256e-05,0.00170207987226466,0.000475895952434337,4.2613877905055e-06,0.687970001319829
"TCGA-CV-A45T-01A",0.00480563289217695,8.07310906858024e-06,0.0274048398584814,0.0449731055556025,0.0708530722890764,0.0914721632136021,0.000334430453186611,3.84860967963967e-05,0.00260932615398958,0.0314103519575332,0.00835955665558546,0.717730961764901
"TCGA-HD-A4C1-01A",0.000838727057102181,3.53618132111687e-06,0.00264380860507492,0.0340596878551523,0.103591094645611,0.00581718759357561,5.49013894769098e-07,0.00346731757782779,0.000702269693218281,4.46390679668664e-07,2.08729465764093e-05,0.848854502439966
"TCGA-CV-7438-11A",0.00177820611431074,9.75448450958575e-05,0.00976535014981997,0.016974855345694,0.0107794371786447,0.0210282149229524,0.000363556776681562,0.00141032826872274,0.00453528520050206,0.00816941231292309,0.00162951494591945,0.923468293938733
"TCGA-CV-5444-01A",6.59634494736986e-07,1.67808707458204e-06,7.1010287498847e-05,0.0373184291338877,0.526517359303934,0.109347166621759,7.5301973710468e-07,1.98186274686483e-06,0.000582236236484612,0.0469590454843773,1.55547015202527e-05,0.279184125626486
"TCGA-BA-5556-01A",0.0011729997000923,0.00122299033337514,0.0150661025394068,0.0535731289943972,0.043533160383115,0.120789350304873,0.000281411889384692,4.80057048617138e-06,0.00343827610402319,2.95293728198412e-07,0.00562627967223667,0.755291204214882
"TCGA-P3-A6SX-01A",8.27389603740277e-07,7.62618097770071e-07,6.95955606542794e-06,0.0213384839266923,0.128784794167691,8.54323103806846e-07,6.66048666793222e-05,0.000999933640399259,1.52891755262864e-06,0.0174893398506775,5.32669862124104e-06,0.831304584044816
"TCGA-CV-7242-11A",0.000140146040992991,6.21257675654006e-06,0.0058145615835318,0.026406057022683,0.0167292415228864,0.0225253278726462,0.000277829960259112,0.00224716922566631,0.00439653180212784,2.85632626467278e-05,0.00109236661582028,0.920335992513983
"TCGA-DQ-7592-01A",1.02644531981098e-06,0.000120041684002989,0.00532093862878382,0.0304793690910613,0.148083386789343,0.0126793213004967,0.000141808321801154,0.00112511356049908,0.00081220566233658,0.0215386374749675,0.00312602249788053,0.776572128543508
"TCGA-CV-6937-01A",1.59591802951276e-06,6.1218387254241e-06,7.72541043292758e-06,0.0237114548520851,0.179055889191398,0.060517900289089,8.75130642434666e-05,2.24222007707296e-05,0.00287787499168051,6.92055394048859e-07,0.00160568752751823,0.732105122660633
"TCGA-QK-A8ZB-01A",0.0113081548000607,3.74927011705742e-06,0.00114905405430193,0.0326585650986531,0.140141918298107,0.00870746600210572,0.000500143660830326,0.0075907021546924,0.00146624992189157,4.9153617581135e-07,0.000509030684796244,0.795964474518268
"TCGA-CV-7432-01A",5.05382227571518e-07,4.28965783276079e-06,0.000153883811021721,0.019952200231205,0.0278294623105866,0.00307931854617071,0.000193818531996525,0.00177435432340978,0.000304417740961634,5.02595088789802e-07,0.000992576934317774,0.945714669935181
"TCGA-CV-7089-01A",1.10123240090552e-05,6.83265820393491e-06,0.00498747544123061,0.0459012220501053,0.0174213920453316,0.0122255449333725,0.000749119052891664,0.00177654799180574,0.000843641685681912,4.6263918183738e-07,0.00107693456547375,0.914999814612712
"TCGA-CV-6939-11A",1.53490720105548e-07,1.50780223303381e-07,1.42039338062563e-07,0.0185342721995701,0.0396254272770507,2.02110437063061e-07,1.071993054125e-07,1.50542404396132e-07,1.60202045887688e-07,0.877928411582791,1.39132354136386e-07,0.0639106834437596
"TCGA-BA-4075-01A",9.156259301133e-07,3.09460302067955e-06,0.00146912174937799,0.0297156768451884,0.0459568349897848,0.0318702258492106,4.42008526834315e-05,0.00953932636061472,2.14884758204853e-05,0.00498078823349996,0.00137871780431276,0.875019608610556
"TCGA-T3-A92M-01A",0.00505391134995427,4.32124944424811e-06,0.00453591003436234,0.0245271481721271,0.336309429000659,0.078508345368371,0.000209359986284438,0.0034362216744747,0.000743751711256166,4.08666777651231e-07,0.00645716524619361,0.540214027540096
"TCGA-BA-4078-01A",1.35863239943733e-05,1.74189691672714e-06,6.14338293857321e-06,0.0445188693942843,0.44280401883004,0.0427378035010566,0.000441152811335917,0.00912452326580911,0.000720880213682375,2.45277929151225e-07,3.14767655503081e-06,0.459627887425458
"TCGA-CV-7100-01A",4.86582171906404e-07,0.004646765094817,0.00836093276033079,0.0731319641732839,0.198727396095549,0.043858284836008,0.000175293991421627,0.00146777684910577,0.00190074368977274,5.18453842635808e-07,0.00654895831199576,0.661180879161701
"TCGA-MZ-A7D7-01A",8.64458402532077e-05,1.68283444804356e-05,0.00160668999878285,0.00403910111909558,0.006444294173061,0.000992528461411489,0.000257307461294297,0.00162643745009317,0.000518088075731582,5.07257325907966e-06,6.49596449206864e-05,0.984342246857617
"TCGA-QK-A652-01A",4.11814999888262e-07,0.000755000500285251,0.00676688498110307,0.0374948184002204,0.0906842948015626,0.0111777834083802,5.10134128869838e-07,1.43682447713832e-05,0.0011414545199557,0.188882719172306,0.00032833664915446,0.662753417373132
"TCGA-CV-6433-01A",0.0020153924322843,0.0514122134207205,0.0355994675780797,0.0473670915295662,0.00912781549727137,0.139650130957967,0.000176628692435867,4.932101380224e-06,0.0428899990126976,7.53097810650687e-07,0.0273081639885772,0.644447411691209
"TCGA-CV-7416-01A",3.23550593532205e-07,1.08686877953139e-06,4.28234522930463e-06,0.0462429037123111,0.33591500317836,0.0306136300113674,0.000154674009268306,0.00290518704353846,1.83995371622485e-06,2.71931835917069e-07,3.71076946157341e-06,0.584157086625539
"TCGA-CV-A6JY-01A",0.00111245667596875,4.96273671518546e-06,0.00199843179734723,0.020855297661786,0.00922665844302691,0.000643033947711436,0.000983050497858874,0.000640002848028232,0.000754165356646051,6.28540990378146e-05,0.00016264431485698,0.963556441621017
"TCGA-CR-7399-01A",0.00028580907922308,0.0122215844870327,0.035518585669494,0.0891718846948453,0.0512460238426169,0.169526684721898,7.90462343118653e-07,3.22362065302812e-06,0.0075950129397633,3.55355022778619e-07,0.00655610541372438,0.627873939713383
"TCGA-CV-7568-01A",7.7195104579017e-05,1.32909364871498e-06,0.00402413535900733,0.0253466279708272,0.332002872550978,0.00981058526035684,7.70517101789758e-05,0.00167400954047887,0.000164152371112503,0.0141627651387945,5.88404290862641e-06,0.612653391857129
"TCGA-KU-A66S-01A",0.000539784511556397,2.81081738304414e-05,0.0016898118803158,0.0941543991701829,0.104770701333826,0.00971739837331868,0.00296465436977072,0.0223110354053797,0.00880786141702563,0.00271996672751585,0.00654472532354482,0.745751553313733
"TCGA-QK-A6VC-01A",0.00338705128602174,0.0229148391502953,0.0293203693366618,0.0375592180813501,0.078969450658605,0.0431872826405604,0.00046189472558526,0.00207801910288954,0.00905664611345231,7.37376478876011e-07,7.7164899233163e-06,0.773056775038176
"TCGA-CN-6998-01A",2.85576520106673e-07,1.74045580285922e-06,0.00111894719073117,0.012083829483945,0.0069245123979248,0.00280997526682238,4.32764450849874e-07,0.00105897981946963,7.19941249434429e-05,0.00854637171252625,0.000849905407815571,0.966533025799048
"TCGA-CV-6941-01A",0.000462610943864784,2.16597726358362e-06,0.00359234538271845,0.0289402796153654,0.330320468817355,0.0234568437200215,0.00116550663568022,0.00251493746175494,0.000497816764554043,7.26962872986906e-07,5.81588508445378e-05,0.608988138867705
"TCGA-CN-4727-01A",1.16448096146392e-06,1.59618077871732e-06,9.02997251282714e-05,0.0540777340551985,0.126102032755571,1.22041305752244e-05,5.22540559970912e-05,0.0047840168507033,3.53372429843169e-06,5.41444009819205e-07,3.93729207353782e-05,0.814835249676042
"TCGA-BB-A5HY-01A",7.61809953426955e-07,5.94948314869643e-05,0.00232795679169857,0.0335407473295052,0.159817466373026,0.00860121801448736,5.46943826117112e-06,0.0248923606371178,5.05378878692788e-06,1.72909031902312e-06,0.000556294403530016,0.770191447491827
"TCGA-CV-7263-01A",0.00173066930713572,1.66998691089727e-06,0.00516700792165478,0.0411118335764627,0.294441463266527,0.0543102066911413,0.000322602699721284,0.00035299232391867,0.00178568434451946,0.03952592782832,0.000234726228690902,0.561015215824997
"TCGA-H7-A76A-01A",0.00905581096268162,0.0034178253421359,0.0215480585766693,0.0255432333209852,0.296215190503024,0.174300095346842,0.000690932905518901,4.14702453296276e-06,0.0183480387616008,3.85685758360641e-07,0.00974775696165995,0.441128524608592
"TCGA-CN-4723-01A",0.0121211914330997,3.34681569553541e-06,0.00318157979579883,0.0500516438280807,0.213607621518587,0.0517326791337802,0.000625621372855348,0.010490947050307,2.53281797082284e-06,3.87101074717994e-07,0.000972329162276056,0.657210119970474
"TCGA-CN-6997-01A",0.00012659604520973,5.27154745273994e-06,0.000963500312324884,0.04398237483275,0.15076478830653,0.0151707427243341,0.000903793627077747,0.00442275319056124,0.000345605168802152,5.18370867063687e-07,1.11638389097158e-05,0.783302892035181
"TCGA-CN-5364-01A",3.18818323005786e-07,1.76486027931577e-05,0.00192865906704504,0.0348020899299989,0.133470981511391,0.0318396942951809,8.51371037113732e-05,0.00194355519297296,2.83659071602161e-06,0.0252155196983675,0.000885810704380516,0.769807748485119
"TCGA-CN-A63V-01A",7.36157465618137e-06,7.85835553304804e-07,5.39751120527877e-05,0.0159387447859729,0.423408837604745,0.0144422490993826,0.000303206944036116,0.00213301871561945,1.41801247229748e-05,1.01439615029298e-06,0.000318257285496334,0.543378368521612
"TCGA-CQ-5325-01A",0.0117298524090421,7.99560629104547e-05,0.016018513854342,0.0525089994702373,0.166088080055758,0.124876504466777,0.000156705103629144,7.51050209155631e-06,0.00503766922881783,0.142805184229754,0.00636509254541535,0.474325932071225
"TCGA-CR-7386-01A",2.30885668447908e-06,1.25228731703235e-06,0.00333474592097784,0.0204629807465988,0.526010148381766,0.0951186933699038,0.000815037254622676,2.41167336170274e-06,2.13041545485651e-06,0.000255543929163816,2.8372740103049e-05,0.353966374424046
"TCGA-CX-A4AQ-01A",0.00370414821983583,0.0116937073753919,0.0032897873925896,0.128106225815235,0.0964923690031291,0.228628403353436,6.6622812486893e-07,0.000905581929315077,0.0156925044165613,6.04721708658618e-07,0.04155088220596,0.469935119338713
"TCGA-QK-A64Z-01A",4.73127595542396e-07,5.21290972785233e-06,0.00204985722167985,0.0231420679311493,0.0770011925418054,0.00652928215459983,0.00048281488162056,0.00437145301742944,0.000348907855978888,4.92753330795327e-07,0.00201699078349065,0.884051254821592
"TCGA-BB-4225-01A",0.0110030583513314,0.0559950763120702,0.0349657937600361,0.06322316295909,0.0482915738412771,0.0684263364564286,9.51899532975435e-05,5.31751808636775e-05,0.0541144115854355,4.73167778773358e-07,0.00618571971948922,0.657646028712902
"TCGA-CV-7183-11A",4.54663077463754e-07,2.10520192920202e-06,0.00315153241692037,0.00745347928732897,2.26105980549896e-05,0.00322695824091374,0.000117158715377115,0.00151210013999257,0.00034906406611896,0.000183008698821394,0.000661893148337358,0.983319634823128
"TCGA-T2-A6WZ-01A",0.00816565804117879,7.45216269382374e-06,0.00314240436039647,0.0194739354821584,0.0493011709274368,0.00797447576563974,0.000150921711933038,0.002285469948145,0.00512542623553685,4.12546033363214e-05,0.00262578851874857,0.901706042242796
"TCGA-HD-8314-01A",1.22663116357616e-05,8.81509473152219e-06,1.89262430531138e-06,0.0501192965203963,0.102559057417716,0.0768849438312501,5.71697271758319e-07,1.83574481578482e-06,0.000826668024104719,0.241674875208408,3.53570144773002e-06,0.527906241823917
"TCGA-CR-6473-01A",0.000910542364026188,0.00565396967606134,0.000279823971644478,0.0751881357419661,0.0641241638973397,0.00152665844624609,5.06125033926641e-05,0.00466303421559158,0.0035685318279348,9.83182822380171e-07,0.0101428710648091,0.833890673108166
"TCGA-CN-A642-01A",5.06099615443882e-07,6.24001678034145e-06,0.00208929557369769,0.0397603605861753,0.0847803832579379,0.126593367077184,0.000620414483206045,2.82027450010722e-06,0.00277931765506137,0.027057239391527,0.00552118461963558,0.710788870964679
"TCGA-BB-A6UO-01A",4.35663360518515e-07,1.65757995246199e-06,0.00247152572158233,0.0383315981681342,0.169636297960118,0.00923834431767646,1.42878859332733e-05,0.00138705280471449,2.60381208389139e-06,5.85466776277327e-07,0.000362378149365634,0.778553232470303
"TCGA-DQ-7591-01A",0.00326922764269265,0.0140810755488851,0.0168287886129631,0.0318595719046752,0.0121981377950304,0.0541824369957024,2.18322657918649e-05,0.00330084423001114,0.0133633992451333,0.000137865488333579,0.0165963378212646,0.834160482449517
"TCGA-CR-7398-01A",8.08864139108378e-05,1.42678619743422e-06,9.03897056013688e-05,0.0361772348928874,0.215318139509492,0.0227768295627126,0.00344789142729947,0.0111484739861628,1.78199511232166e-06,6.84239891218011e-07,3.28917710926764e-05,0.71092336970964
"TCGA-HD-8634-01A",2.04076412315556e-06,2.65834358930869e-05,0.000977014058658183,0.0192333152887031,0.0129353745754094,0.00461394895548798,0.000152117781253443,0.00160137105350319,0.00059396601768461,0.0037812892798217,0.00184912591123001,0.954233852878232
"TCGA-CR-7372-01A",0.000210338369221481,9.49088564128395e-07,0.00147314059561969,0.0481986449243443,0.223726896859149,0.00501251912015348,0.00147959178640387,0.00232503007213004,0.00102585990008602,0.00626816145458506,7.39209048646421e-06,0.710271475739257
"TCGA-HD-8224-01A",3.58061808425452e-07,8.02668126735337e-07,6.40917623636466e-07,0.0285853700330569,0.123476013122147,2.47746016554675e-06,3.49572701457548e-07,7.86466646134225e-07,1.01882933261502e-06,0.412264753747387,8.46524460768902e-07,0.435666582596544
"TCGA-BA-4074-01A",7.15707391313333e-05,9.23944211702961e-07,0.0119222725796007,0.0274551656787431,0.224096133869422,0.0153656971559462,9.37181301945295e-05,0.0046731792559825,8.55715372193526e-07,1.68249607375923e-06,0.000681994968007214,0.715636805467315
"TCGA-CV-6961-11A",2.71712510790255e-07,1.47619288143841e-06,5.76811494189852e-06,0.0114847389141565,0.0126362509550664,1.62577204466744e-06,1.14420291008892e-06,0.00022404777006231,0.000294632341346011,0.043155761136671,1.93488193783762e-06,0.932192348005471
"TCGA-BB-A5HZ-01A",0.000673692474881164,2.10260744164424e-06,0.00224017928999358,0.0340148191222791,0.103991298178181,0.000479615046975274,0.00032478123939854,0.00202081673878617,0.000771641031919966,1.46693240440596e-06,0.00025232395863806,0.855227263379101
"TCGA-CQ-5332-01A",0.000494212616963898,3.37526919275153e-06,0.000966188487546391,0.0279149426872699,0.182724668735794,0.0151558516175602,0.000449958620450483,0.00410795025075779,0.00130763040055039,5.33937316497645e-07,4.18157723192642e-06,0.766870505799366
"TCGA-CR-7380-01A",0.000493053554706055,1.97361292000369e-06,0.000523678188477406,0.0400368266817402,0.234199641047303,0.021038962388892,0.00249565612853017,0.00330280287494448,0.000389611301483812,3.43611690667678e-07,0.00263819545693187,0.694879255152381
"TCGA-CV-6936-01A",0.00283513226651799,3.59974700310453e-06,0.00358916441546768,0.0358189113410566,0.0927077899959292,0.0596706041628324,0.000326269812259917,5.38157106390741e-06,0.00718838721547012,4.72161167361852e-07,0.0128106855922126,0.785043601719019
"TCGA-MZ-A6I9-01A",0.0122845202235042,6.69241937004608e-06,0.0013910027658834,0.0489337915448029,0.0162087609253557,0.00391596760308125,0.000540578023024639,0.00174338813775182,0.00299319889519691,0.00335165659223946,0.00371732940767645,0.904913113462113
"TCGA-QK-AA3J-01A",0.00264606330253313,1.78777420872165e-05,0.00533229459496794,0.0534228279292784,0.0132538893367282,9.97719915481361e-05,0.000562374385982254,0.00607928209827038,0.00308418275549654,0.00486591393930385,0.00853842761297487,0.902097094310829
"TCGA-BA-4077-01B",0.000378022581988412,5.20275830735591e-05,0.00162908398480645,0.0393114926370821,0.037191287051267,0.126833158646556,0.000960842822259151,6.08842620116973e-06,0.00409475427739213,0.000772307369588628,0.0200072934594445,0.768763641160341
"TCGA-CQ-A4C7-01A",4.16325602720085e-07,2.69784182234884e-06,0.000662882147432599,0.062249407731466,0.347153814664884,0.0349142393227685,6.61304788946781e-07,0.00147632592245168,9.12565038026391e-07,0.00941445809729991,2.38128019436727e-05,0.544100371274502
"TCGA-CV-7422-01A",0.000358690982341665,2.29303370123291e-05,0.00365851908923394,0.0487156901244681,0.114508810860534,0.0204604503593824,0.0002531824222303,0.0148170905004376,0.0013416763553581,0.00265870007790747,1.39008149408375e-05,0.793190358076153
"TCGA-CQ-A4CB-01A",0.000178855904430606,2.02148303544005e-05,0.013007836334106,0.0638302657972379,0.262076397036119,0.0403084678131788,0.000299692997134925,0.00436486469779411,6.87420588968421e-06,5.34123480244808e-07,5.48495529087405e-06,0.615900511304984
"TCGA-F7-7848-01A",0.00440522531755824,3.24651907821769e-06,0.00536735554017443,0.0700244463009566,0.108271593224459,0.0619705971828897,0.000448251518258063,0.00890899247874862,0.00503432534372683,0.000346169456111581,3.0155470926649e-05,0.735189641647112
"TCGA-CR-7392-01A",0.0146818407095602,1.89673638431907e-06,0.00944058043813518,0.09086425710318,0.309020998646866,0.075465569775833,0.00180907022916739,6.89698341917414e-06,0.000474172527756554,0.000598329187202034,0.00978367686705437,0.487852710795442
"TCGA-CV-7178-11A",1.96502448467026e-06,9.21574985523871e-07,1.33019294262364e-06,0.0475039172259729,0.030109842057704,0.106461727261227,4.26120280624075e-07,1.5113325196806e-06,1.78931042239715e-06,0.196284622241735,1.56350540068633e-06,0.619630384152325
"TCGA-QK-A6VB-01A",1.14998638642388e-06,9.54094686552099e-07,0.000827252680056609,0.0251183792116621,0.132687654853873,0.00438162046909865,5.6160743091936e-06,0.00255660425985577,8.0775961675105e-05,8.11850727760469e-07,6.46416587176592e-06,0.834332716391797
"TCGA-CX-7082-01A",8.69486172610294e-07,5.3179371834673e-06,0.00115669613600533,0.0326541908904699,0.128389825821339,0.0141711738735782,1.06248566179019e-06,0.0050615689734811,0.00121865619930628,0.0364281117793613,5.8534196201336e-05,0.78085399222124
"TCGA-CV-7414-01A",4.41740483866529e-07,1.95046578944644e-06,0.003688050725693,0.0256567236226402,0.212023075514635,0.00412384029107786,0.000729742939304044,0.000622957929647518,1.26274009624524e-05,0.0037078134937443,6.13577947983994e-06,0.749426640096542
"TCGA-CN-A63W-01A",2.0490720289301e-05,9.88887023729976e-06,0.00617017483612997,0.0360397532761198,0.0358193598141208,0.00491089290824368,0.000207237986078801,0.00168277395181706,0.000392076683318266,0.000225272512281585,0.00103636444914286,0.913485713992221
"TCGA-BA-5557-01A",1.86415671314759e-07,1.46812690493697e-06,0.00395918522738344,0.0260022822185401,0.305233453264724,0.0783992853946898,0.000185783030889133,0.0120572346168916,6.46784358707406e-07,1.95237928578161e-07,1.0146322753715e-06,0.574159265049743
"TCGA-CV-7435-01A",0.00246372457488777,9.00174074562982e-07,0.00359549207153822,0.0247277943387021,0.468666951827881,0.0401998397308704,0.000359607075727112,0.0013010137310365,2.42089854860817e-06,0.00209263721749708,8.08666217146969e-06,0.456581531697066
"TCGA-UF-A7JT-01A",0.00152468474734946,3.32017265522024e-06,0.00984414316872437,0.0365151778156316,0.0808856507875673,0.122635271878156,1.5070882826744e-06,2.26151908357513e-06,0.00210822934326043,6.45939863914439e-07,0.0193969691856892,0.727082138353736
"TCGA-QK-A6IF-01A",0.0134115861789638,0.0632510500272908,0.0315728752281744,0.150007624148986,0.0631965533593404,0.0773720899726701,0.000539511342125529,0.0247168917630386,0.0410404465675321,0.000346824927468663,0.0250780383332034,0.509466508151206
