"","B-cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T-cell","tumor"
"TCGA-BB-4224-01A",2.09109768899451e-07,7.42694613301562e-07,0.0193838035459228,0.00742758225620421,0.0071071583032483,0.000109136758452419,0.00269720643436983,4.70841717836385e-06,0.0118267061365452,0.951442746343697
"TCGA-H7-7774-01A",3.53443722974077e-05,1.55791289092695e-06,0.0093299948539815,6.74184848433059e-05,0.00876023866561543,0.000380720054613156,6.71591835329345e-06,0.0046897944358911,0.011431583430231,0.965296631871283
"TCGA-CV-6943-01A",0.00135086782816841,0.000524289750403611,0.055320947363434,0.300522172328618,0.0629289026875194,0.000838340879868328,0.000325865612775607,5.9671564748126e-06,0.042840358447072,0.535342287945666
"TCGA-CN-5374-01A",0.00143556401394713,0.00273988651420786,0.0564502118886343,0.018560907560701,0.0111828174265636,0.000203831950877513,0.00590228995384934,0.00763292901135525,0.074960435108883,0.820931126570981
"TCGA-CQ-6227-01A",1.76243932115739e-07,3.59807730021146e-07,0.097046482758636,0.176718149646927,0.00696796313599637,0.000110242422125326,0.0612576945811538,9.76042527383346e-07,0.00715671119224264,0.650741244168729
"TCGA-CV-6959-01A",0.000240405027340569,6.01086328778776e-07,0.0943247314359901,0.0568401712734727,0.0188360036812295,0.000120712156639196,0.0560586176461756,5.04347068042859e-07,0.0189001523725694,0.754678100973186
"TCGA-F7-A61V-01A",9.44304720388789e-05,9.042721377808e-07,0.016524149927993,0.00822989716161656,0.00284564230954047,3.80609546535044e-07,0.0190294847204004,0.0454306271509571,0.00739738191180066,0.900447101463969
"TCGA-CV-7413-01A",5.4627816908101e-07,4.15153199946597e-07,0.0243157162836848,0.16969049123775,0.0211035827551445,3.44076270349712e-05,1.09343889918892e-07,3.05346492876478e-07,0.011921214672937,0.772933211301697
"TCGA-CV-7247-01A",8.55448697970556e-08,3.03091943919514e-07,0.0569639427024973,0.0777820858948039,0.00107973801363775,1.70464883046628e-07,0.0665265005593604,2.70052991504684e-07,0.00218954586643412,0.795457357808578
"TCGA-CR-5249-01A",0.00228802206616775,0.00289538168798095,0.0748477593766855,0.0398269162302368,0.0168817255691513,0.000501489961784772,2.24741337571461e-07,0.0116623700061202,0.083029119579097,0.768066990781438
"TCGA-CQ-5331-01A",0.000183117926514448,2.51987854838509e-05,0.0664450063977046,0.0283984810533478,0.0430057499332908,5.88997951993796e-06,1.75985645376265e-07,1.67383924432104e-07,0.0385176008472536,0.823418611707315
"TCGA-BB-8601-01A",0.000355640497273902,6.15720627777461e-07,0.0134338841730209,0.00319383148634108,8.03323919520467e-05,0.000368748756825849,3.16228934324383e-07,1.54021846707166e-06,0.00138363876646016,0.981181451760097
"TCGA-CV-A45W-01A",0.0146706378625803,0.000286461925423782,0.0812908641084651,0.0743106914851126,0.0453378978356944,0.000270030864004535,1.24822782723604e-05,0.00187617217323771,0.0477240472573458,0.734220714209863
"TCGA-CQ-7063-01A",2.10799427782709e-07,5.48988987884482e-05,0.0530064276121545,0.013009013241221,0.0449279937642425,0.000355030527426983,2.94830923517119e-05,6.98478722896663e-07,0.0377047124806389,0.850911531105025
"TCGA-CN-5373-01A",6.30464740341888e-07,3.63659208642273e-07,0.0325494454047733,0.15371543257273,0.0224002896292531,0.000327217884668882,0.00141265407285912,3.36426796181352e-07,0.0188462352075195,0.770747394677451
"TCGA-CV-A45T-01A",0.00156257659066922,0.00122712837351761,0.0527509121490451,0.0460711264114362,0.0342878271625908,0.000466562789856469,0.0137923394377983,0.000163777772428998,0.0624663420461862,0.787211407266471
"TCGA-HD-A4C1-01A",0.000186451150614727,6.63813109237122e-07,0.0483219734986135,0.0617992574560056,0.00318927724086357,1.6276208620243e-07,2.38356048360863e-07,9.57415484027621e-07,0.010964315271411,0.875536703035764
"TCGA-CV-7438-11A",0.000463443550369197,8.19823574452063e-06,0.0139690540672098,0.00789019468821872,0.00689877470350926,0.000272780174975094,0.00299232698637153,0.0439971969344285,0.0229118615147478,0.900596169144426
"TCGA-CV-5444-01A",2.22275611244426e-07,9.0831409642927e-07,0.0569800094858935,0.389691705541619,0.0519202789894399,1.16799673728147e-05,0.0347376475861647,2.02110358219539e-07,0.0158020904129778,0.450855255316466
"TCGA-BA-5556-01A",0.000297206822998702,0.000956557325594476,0.0713111750513343,0.0324841524720637,0.0371945883473402,0.000145798180824907,1.11555887358209e-07,8.30933809016972e-05,0.0565770547368215,0.800950262126233
