"","B-cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T-cell","tumor"
"TCGA-BB-4224-01A",1.35457441250916e-05,0.000712131309494887,0.00843424605495852,9.00093687908048e-06,0.0297998237122532,0.000342453559835469,0.00801057293861042,1.52213491341929e-06,0.00174780989342711,0.950928893715503
"TCGA-H7-7774-01A",0.000621095961501411,2.80698479793888e-05,0.0105077026920286,4.08336225695948e-06,0.0484947467630684,0.00134966100195095,7.21368121591538e-05,4.95199514549904e-06,3.77467207736887e-06,0.938913776891832
"TCGA-CV-6943-01A",0.0119883954265165,0.000366856478673843,0.0643779775428157,0.0302285504014226,0.199082320874748,0.00281675046705961,0.00212141423970697,1.5082735241264e-06,9.48373205906794e-06,0.689006742563473
"TCGA-CN-5374-01A",0.0114382281574321,0.00572637728382018,0.028196360703096,0.000911564687187939,0.0910804739336137,0.00184560999122377,0.017133642893495,5.613899053294e-06,0.000694498104385938,0.842967630346692
"TCGA-CQ-6227-01A",0.000111684191393698,1.42635151781809e-05,0.0635946570009006,0.0568828002727253,0.0309850849483975,0.0010822751231441,0.201268107257741,1.79451953430125e-06,1.52408892137371e-05,0.646044092281771
"TCGA-CV-6959-01A",0.00228146319519486,4.80282563986068e-06,0.0400345865416712,1.4131247091627e-05,0.0683968679589057,0.000562763125551101,0.192683966209685,1.50703698650655e-06,1.13728638283644e-05,0.696008538995446
"TCGA-F7-A61V-01A",0.00140956707664796,2.50762688150421e-05,0.0160149219635744,6.27950935939544e-06,0.0171776797127749,7.69331646976597e-05,0.0637002198324771,0.0114292610304371,0.00123409914483759,0.888925962296379
"TCGA-CV-7413-01A",0.000485521023776593,0.00107379816451184,0.018374567601979,0.000131154548854449,0.0700140601462027,0.000429760199073916,6.07872327282473e-05,1.33672558022705e-06,3.49473717540608e-06,0.909425519620118
"TCGA-CV-7247-01A",1.47329082686407e-06,0.000385897223385459,0.060581535465556,0.0289368801155626,0.00380327402860757,1.33223174731926e-05,0.254024177774433,3.78024530996714e-06,2.0197999392265e-05,0.652229461539454
"TCGA-CR-5249-01A",0.0152056484409388,0.00748872723326195,0.0350746185899733,0.000139601715016008,0.145852921067871,0.00375242706068154,8.30240734538247e-05,2.75158181757912e-06,0.00640606096105722,0.785994219275929
"TCGA-CQ-5331-01A",0.00154141104520231,1.51282724599013e-06,0.031096575640416,2.5081811489888e-06,0.149674725413213,0.000142691911573331,5.06773547825815e-05,9.44091852858952e-07,9.97947616203287e-07,0.817487955586949
"TCGA-BB-8601-01A",0.00514038281383432,2.36056077446371e-05,0.0165774953795918,3.50257866698498e-05,0.00246713928793267,0.00262992476594913,2.72413293585901e-05,8.47412885284378e-06,0.00252976205523123,0.970560948844835
"TCGA-CV-A45W-01A",0.105619186967483,3.13840810311945e-05,0.0871126481363106,0.0372008600379496,0.104318673878665,0.00183732331523633,0.000169160174820685,0.022948892609143,0.00432027149192876,0.636441599307432
"TCGA-CQ-7063-01A",7.47004701818127e-06,5.33124133488405e-06,0.0147300942594788,8.98886961734759e-06,0.152163336247347,0.00157500294628037,0.000221935012600678,7.42029531144336e-06,2.792503626672e-06,0.831277628577385
"TCGA-CN-5373-01A",0.000441254114940431,0.000568399157430983,0.0238576762305701,7.1061986939696e-06,0.0689444740806035,0.00123847868483842,0.0052163950524139,1.36751799374865e-06,1.02201669702097e-05,0.899714628795545
"TCGA-CV-A45T-01A",0.0100477428114687,0.00327844624415277,0.0398740824473364,0.00294874868056251,0.110047631319347,0.00128672209264311,0.0425125184156873,5.79589152222292e-06,0.00131222854283388,0.788686083554447
"TCGA-HD-A4C1-01A",0.00231012916923793,6.65725332567933e-06,0.0268693773634606,1.79668083672759e-05,0.0275480378965194,1.20851018889317e-06,7.392228392517e-05,1.7492679176498e-06,1.08830662255543e-05,0.943160068380832
"TCGA-CV-7438-11A",0.00389523968956352,0.000251304371246087,0.01266341982671,7.66611910295452e-06,0.083201020761634,0.00116749470176242,0.0102863760686255,9.81525610036828e-05,3.82023916177091e-06,0.88842550566119
"TCGA-CV-5444-01A",0.000758185598194441,8.25957292531153e-06,0.0680628860194506,0.113734576362966,0.155739985099139,0.000512116635867429,0.124867026544935,2.67621546019203e-06,1.27778564281132e-05,0.536301510094634
"TCGA-BA-5556-01A",0.00305035591434408,3.67837912536672e-05,0.0345289366636787,7.79540537939407e-06,0.157919608494184,0.000811925030775858,2.07875995471927e-05,0.000436604150500321,3.27517729299172e-06,0.803183927773044
"TCGA-P3-A6SX-01A",0.000132847927397291,0.000495355732173858,0.021347573765732,0.0110250604477794,0.00114870965132137,0.00056051344017988,0.0484260877420206,1.9982097161369e-06,0.00184637940137104,0.915015473682308
