"","B-cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T-cell","tumor"
"TCGA-BB-4224-01A",2.02246837142705e-06,0.000796295032337769,0.00699048009283969,0.0134851326799122,0.0301894260908505,0.000269568738066583,0.00847236028587838,1.244068996384e-06,0.00148423997546317,0.938309230567284
"TCGA-H7-7774-01A",0.000321572389405385,0.00139131480100621,0.00931349229071092,0.00116016945900365,0.0250334730443598,0.000662017600098684,3.53956689736421e-05,0.00246445081192675,0.00267960710490465,0.95693850682961
"TCGA-CV-6943-01A",0.00383916795261636,0.00170328763339913,0.0207399879399685,0.426108793048599,0.129987305389883,0.000890681363943439,0.000438332415771554,4.20776267267709e-07,0.00571895619076932,0.410573067288783
"TCGA-CN-5374-01A",0.00771559316549345,0.00612656536768515,0.0216138551211462,0.0192792850439289,0.0604295548855326,0.000821608989486707,0.0138621327363561,8.080836630693e-06,0.0192103180437047,0.850933005810036
"TCGA-CQ-6227-01A",1.97391580921542e-05,7.02258814109088e-06,0.044929322813204,0.254497300500185,0.019294265377921,0.000583402229057227,0.131053400051627,4.56633389412198e-06,0.00135939466293081,0.548251586284948
"TCGA-CV-6959-01A",0.00119805253618105,8.58583269890792e-06,0.0316877752440648,0.0914880837241218,0.0563057587255624,0.000357489447776353,0.128089930290842,1.47337729091877e-06,0.00123371512368092,0.689629135697781
"TCGA-F7-A61V-01A",0.00081488625336848,5.57454037752495e-05,0.0108100251392619,0.0204620070827399,0.00814334175826673,5.98992267178934e-05,0.0460455923703046,0.0144234861734335,0.00292407305281311,0.896260943539319
"TCGA-CV-7413-01A",1.88122816478519e-05,2.04153707741209e-05,0.00533983119044873,0.269633649589549,0.0463708161863106,0.000167835957767053,4.054888264115e-07,6.58837165529751e-07,0.000931068427928046,0.677516506669582
"TCGA-CV-7247-01A",5.61202785833119e-07,4.66785772942686e-06,0.033860712664507,0.167634467976307,0.00266707385066942,6.34995370805555e-05,0.167214475395647,2.02777281450074e-06,0.00023921060436084,0.628313303138099
"TCGA-CR-5249-01A",0.0100774414628257,0.00929969438820707,0.0272808868752666,0.0532855192109749,0.0837876016037595,0.00151756696085251,5.79049684910363e-07,1.44760256696551e-06,0.0192604233024527,0.795488839543409
"TCGA-CQ-5331-01A",0.000909977502021269,6.80487067098318e-05,0.0310650228142877,0.0495041698967707,0.126044541490872,8.74458816954313e-05,7.62688979193928e-06,1.00521248007268e-06,0.00108972321027752,0.791222438395094
"TCGA-BB-8601-01A",0.00240903707301787,8.00576047300589e-06,0.00834455535699715,0.0064693887800786,0.000302508671317494,0.00114760855885703,2.17624531089515e-06,1.93419823189143e-05,0.000610051476538202,0.980687326095091
"TCGA-CV-A45W-01A",0.0589128329896915,2.4605275130016e-05,0.0528233622020896,0.119887313016987,0.0935448887650461,0.000986639446014388,4.7156633314515e-06,0.00829312050274299,0.010919653171031,0.654602868967936
"TCGA-CQ-7063-01A",2.96556927628197e-06,3.3847695148706e-05,0.0143499092231207,0.023553080035459,0.124277585372951,0.000799278972042824,7.28618316443807e-05,4.94704693241e-06,0.000388243565108571,0.836517280688317
"TCGA-CN-5373-01A",3.21402716230138e-05,4.23732404272199e-05,0.0111190705468286,0.249200735449517,0.0464048947943995,0.000556733512954593,0.00222060358805805,1.3478685241987e-06,0.00276440277424208,0.687657697953425
"TCGA-CV-A45T-01A",0.00568323197057177,0.00354144099753698,0.0268555670870887,0.0711768390035175,0.0854583061487184,0.000661528630786846,0.0315653739995638,0.00123012674872808,0.0202885244511729,0.753539060962315
"TCGA-HD-A4C1-01A",0.00105330973538278,1.49347526356875e-05,0.0149280558456762,0.127013328496428,0.0148390270072757,9.87594320396122e-07,7.478552058537e-07,1.33754466565199e-06,0.00208863786727701,0.840059633301132
"TCGA-CV-7438-11A",0.00220087445530634,0.00168826135748118,0.0111280660052868,0.0115527039313397,0.0418450753079471,0.000528317326590557,0.00779893320533982,0.00205378032603768,0.00515593706481815,0.916048051019853
"TCGA-CV-5444-01A",1.86769641632373e-06,1.89830003931269e-06,0.0177250157559511,0.571005139178635,0.103898905491374,0.000197282948850292,0.0555935449114626,6.52485877954226e-07,1.47086716376515e-06,0.251574222364229
"TCGA-BA-5556-01A",0.00151220816918681,0.00402774095005695,0.0254989338449541,0.0603818439407928,0.135960478095536,0.000398889983664026,6.58234963041601e-07,7.59838980617581e-05,0.00609886043472721,0.766044402448058
"TCGA-P3-A6SX-01A",5.00991997290296e-06,1.49499373304456e-06,0.00970582748625797,0.141627853929549,1.03719031791759e-05,0.000255898074875381,0.0293549045982383,1.06026236877412e-06,0.001057991071353,0.817979587760472
"TCGA-CV-7242-11A",0.000166625839086543,0.000314105327132025,0.0163452050113697,0.0186958805693391,0.0425448149288883,0.000336050553555345,0.000605880029832345,2.0076612021785e-05,0.00129323336857163,0.919678127760203
"TCGA-DQ-7592-01A",2.43108031382015e-05,0.00188980685588148,0.0112647534127129,0.166573513344088,0.023316046151068,0.000371400614632258,0.0296979124575294,2.84298020685518e-06,0.00330110334257257,0.763558310038171
"TCGA-CV-6937-01A",1.89572536733903e-06,6.87650253296924e-06,0.00805560215301746,0.225140908758538,0.0426674707652232,0.000144745703744066,0.000123491471241244,3.76468356439576e-06,4.53121307036444e-06,0.723850713023701
"TCGA-QK-A8ZB-01A",0.0122054589934746,4.74634793450416e-06,0.0129354016060735,0.167312326064568,0.0155801628807346,0.000629937810146898,7.80396399975971e-07,0.00370839713766177,0.00181102113818051,0.785811767624825
"TCGA-CV-7432-01A",7.13200325125788e-07,6.88086078976999e-06,0.0100332435589357,0.0291204612242234,0.00631813437718302,0.000278509998357152,6.54164302260171e-05,1.14701959108854e-06,0.000409567209375964,0.953765926120993
"TCGA-CV-7089-01A",4.34118406737512e-05,0.000321145811927911,0.0247912786737838,0.0189017030427051,0.0220610207494421,0.00103531330352961,1.13439107445439e-06,1.20951164774917e-06,0.00192663236553031,0.930917150309685
"TCGA-CV-6939-11A",2.82180737136792e-05,3.74282089125834e-07,0.0292469201944516,0.0373656079846635,1.32475360291565e-05,3.21882077132264e-07,0.770286879785028,0.163057109140776,4.87632653142216e-07,8.33488518422759e-07
"TCGA-BA-4075-01A",3.65950684852834e-06,5.00734748252967e-06,0.0117236713276278,0.0608489331078224,0.0363783255387845,0.000138428504721618,0.0100769315520798,5.83337536784916e-06,0.00640169480702388,0.874417514932241
"TCGA-T3-A92M-01A",0.00540366623613713,1.25072553667508e-05,0.00913483152917219,0.402414939448261,0.0872004225096496,0.000268066398516657,4.50496744575608e-07,8.74987754591021e-07,0.00266247388965495,0.492901767248742
"TCGA-BA-4078-01A",1.28378011514513e-06,1.44291189666459e-06,0.0191132510284594,0.523600662497862,0.0417777702890643,0.000538427059601822,4.52789013373173e-07,9.30956552010387e-07,0.0010326566914454,0.413933121995989
"TCGA-CV-7100-01A",8.41496867825855e-07,0.00493101185845325,0.0241767569895902,0.244901097292931,0.0535813896228061,0.000309138141083691,1.08506048426374e-06,2.83589704411512e-06,0.00599658020150389,0.666099263439235
"TCGA-MZ-A7D7-01A",0.000227462706184326,2.93413715572881e-05,0.00213439908072704,0.0120463204343049,0.00324858697710162,0.000436696630205667,8.50501292349598e-06,0.000789238962081133,0.00205701953709452,0.97902242928782
"TCGA-QK-A652-01A",1.59400935785972e-05,0.00172111889078961,0.0194808903294548,0.0868252625713543,0.0323319313906079,0.000749850925869708,0.169916992428827,2.3019312716444e-06,0.00730787586333557,0.68164783557491
"TCGA-CV-6433-01A",0.0043564548792288,0.0463300444895238,0.013821478394475,0.00582731905081965,0.163049036824662,0.000272633065846703,0.000119726115473611,0.000304047689228553,0.0339535141116224,0.731965745379119
"TCGA-CV-7416-01A",3.11933320335173e-07,2.10032870691463e-06,0.0117700898558883,0.393589246203297,0.0359842004650808,0.000202919799116536,3.59053560317402e-07,7.27301870948387e-07,1.47582054439189e-06,0.558448569238614
"TCGA-CV-A6JY-01A",0.00132720131988388,1.49187791788155e-05,0.0137623970161517,0.0124442795871305,0.00314417987054742,0.00125286252943396,0.000317199555410571,0.00197608057083635,0.00180684969358443,0.963954031077842
"TCGA-CR-7399-01A",0.0004337825097935,0.0136041376340021,0.0208047968067517,0.07681522187842,0.17924856202041,2.96769883213346e-05,2.11036308511812e-06,3.26614535706247e-06,0.032842970130358,0.676215475523501
"TCGA-CV-7568-01A",6.04080090680086e-05,2.01816001091472e-06,0.00876386847973397,0.35819596781227,0.0154789193727781,0.000237974832614393,0.0279459523463722,6.02383939782317e-05,0.00207039410188914,0.587184258491285
"TCGA-KU-A66S-01A",0.00149166045709346,0.00115360289395596,0.0647284544309897,0.139904858346806,0.0195582219717055,0.00509719560167123,0.00276520684551486,0.0106074309460276,0.019880210372434,0.734813158133801
"TCGA-QK-A6VC-01A",0.00419702256140214,0.0183201782896948,0.0174613854549061,0.0865588413755576,0.0551694182553623,0.000639409648733994,1.40510024144069e-06,2.00028351182243e-06,0.0123678118455571,0.805282527185033
"TCGA-CN-6998-01A",6.98728162476812e-07,6.05633577970589e-06,0.00601771595453934,0.00362419998257163,0.00558895005550829,3.30431171847799e-05,0.0094621410037929,2.4988516519205e-06,0.00130448227897971,0.973960213691829
"TCGA-CV-6941-01A",0.000415488892512985,2.5613896086232e-06,0.00857928848785821,0.356388939572102,0.0334668199844971,0.00142107744380517,0.000600416268123281,1.08052792098463e-05,0.000216579731400741,0.598898022950882
"TCGA-CN-4727-01A",1.04210418988315e-06,2.58585267188114e-06,0.0229727689377296,0.163749532104277,0.00115682179069504,0.000123098171124452,0.000871314784823988,6.63859112001545e-05,0.00278799243180356,0.808268457911484
"TCGA-BB-A5HY-01A",8.05495907389755e-07,0.00170713777481862,0.0088681288719996,0.192266808741188,0.0193203240748307,3.08513935480263e-05,0.00130281034363736,1.8482740618151e-06,0.00892271740247995,0.767578567627529
"TCGA-CV-7263-01A",0.002166253266444,3.87309438000735e-06,0.0217934247771047,0.318620459779016,0.0672009481994474,0.000674114480933693,0.0479219642201957,1.0163705263226e-06,0.0011995702470021,0.54041837556495
"TCGA-H7-A76A-01A",0.0119677071655462,0.00599615440628655,0.0126834327810321,0.335894177919043,0.19300337127197,0.000826753387141423,8.33713198504888e-07,1.57049619492317e-06,0.0131303680415415,0.426495630818046
"TCGA-CN-4723-01A",0.0138535038147472,2.81208637608429e-06,0.0207620675017836,0.273889860217052,0.0550619883513645,0.000823144731646701,5.76116534108952e-07,0.00339906853332953,0.00354724760681863,0.628659731040348
"TCGA-CN-6997-01A",3.52361915924562e-05,2.06882892986502e-05,0.0172776694529074,0.183298073841375,0.0208685329248366,0.00126739702654043,1.33873197116565e-06,0.000988540802461402,0.000744136485078529,0.775498386253938
"TCGA-CN-5364-01A",3.9682718306235e-07,1.21664126112623e-05,0.0169259790033294,0.150074052601612,0.040934009391115,0.000259959951525972,0.0288030673896399,2.20422138690945e-06,0.000447307538539184,0.762540856663057
"TCGA-CN-A63V-01A",1.8059387450556e-06,9.38476661569977e-07,0.00842674406946753,0.502965819015674,0.0165051877059285,0.000374610070220613,0.000476068158005354,1.48984373473744e-06,5.81514695500263e-06,0.471241521574608
"TCGA-CQ-5325-01A",0.0135832270924268,0.00050626935313794,0.026157855326681,0.168393862074136,0.156688650680155,0.00118409793897705,0.129601145117239,8.78963104126376e-05,0.0112756315003666,0.492521364606468
"TCGA-CR-7386-01A",5.82464607692173e-07,1.21624011477832e-06,0.00950561639725161,0.571478026084594,0.0868481474533486,0.000893051954161337,0.00172939217928739,1.32981842217351e-06,2.43275027761885e-06,0.329540204657935
"TCGA-CX-A4AQ-01A",0.00522082129724939,0.0148469878933627,0.0458392092422616,0.119879633755541,0.248207334248174,1.52984892136784e-06,3.25346608797469e-05,1.31155406052811e-06,0.00837626370414868,0.557594373795402
"TCGA-QK-A64Z-01A",5.36560087016887e-07,0.000173424689323276,0.00879003092490591,0.0818904486283243,0.0126324438205279,0.000696045382327165,9.81031639562024e-07,1.61901515350106e-06,0.00182248459351949,0.893991985354192
"TCGA-BB-4225-01A",0.0136139646300108,0.0487203104967284,0.0243482129292893,0.0525427412951976,0.0825334481806673,0.000139254964975497,1.46884179804503e-05,0.00776883603455027,0.0247786580565066,0.745539884994094
"TCGA-CV-7183-11A",5.47438798918979e-07,1.03238213787107e-05,0.00649569613382447,3.75303055873621e-05,0.00840352969882552,0.000127540145820151,7.54698675591291e-05,0.000128033041699678,0.00108243496455485,0.983638894581951
"TCGA-T2-A6WZ-01A",0.0110716209689681,8.33315040106211e-06,0.0115970346933133,0.0481785316335642,0.0193657563626402,0.000207889011630984,0.00109332911979444,4.84472593845953e-05,0.0019890396574474,0.906440018142856
"TCGA-HD-8314-01A",0.00109391184767873,0.000176865101468673,0.0285130246578919,0.105461540115408,0.101346368384793,0.000423285057741859,0.194950685031605,0.0457495800112987,0.000493486575103957,0.52179125321701
"TCGA-CR-6473-01A",0.00185523667905384,0.00887241331033227,0.0297326149109695,0.0786175349817226,0.00731150437919266,0.000115299927306898,1.5704042507337e-06,0.000744653978760404,0.00668064609923027,0.866068525329181
"TCGA-CN-A642-01A",1.90610656455081e-06,6.72638740259202e-06,0.0190356519191134,0.107550312761725,0.136767005730098,0.00110510610317388,0.0372337833787634,1.07269515159953e-06,5.85928201868335e-06,0.698292575635989
"TCGA-BB-A6UO-01A",5.04214363447184e-07,3.43668838585263e-06,0.0186872748107091,0.196162796807309,0.0120610402430894,1.72903433472197e-05,1.74892489929799e-06,1.96110879820888e-06,0.000903001497246341,0.772160945361852
"TCGA-DQ-7591-01A",0.00427701093083482,0.00803247510824105,0.0128403207822934,0.0123699242776923,0.0358139839616896,4.59994295542722e-05,0.00108017775045346,2.09867194485121e-06,0.019105571741883,0.906432437345413
