Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
TCGA-BB-4224-01A,0.024715375542818,0.930889302966741,0,0.00186829374798846,0.012970421128002,0,0.000562396753429482,0.0126104562872367,0.016383753573784,0,0,0.909681560833899,0.415508386018075
TCGA-H7-7774-01A,0.00332053083527554,0.996679469164724,0,0,0,0,0,0,0,0,0,0.807334748515911,0.612050983584073
TCGA-CV-6943-01A,0.102191058937786,0.771471102264148,0,0,0,0.126337838798066,0,0,0,0,0,0.848602262920707,0.532240424567733
TCGA-CN-5374-01A,0.0410269313728386,0.602636794958923,0.00350203487122035,0.0166574305534508,0.222753641568361,0.0758123209536621,0,0,0.0376108457215442,0,0,0.668175811838154,0.746406057337789
TCGA-CQ-6227-01A,0.173800414511776,0.766488018077905,0,0.0479240357034832,0,0.0117875317068365,0,0,0,0,0,0.932567015171196,0.397199753257647
TCGA-CV-6959-01A,0.0485796534528528,0.867536474903272,0,0.0430348437115167,0,0.0408490279323587,0,0,0,0,0,0.905239301633944,0.427724390583927
TCGA-F7-A61V-01A,0.0120414181128109,0.856784330879794,0,0.0228096501706369,0.108364600836758,0,0,0,0,0,0,0.920459419417605,0.392235296733896
TCGA-CV-7413-01A,0.0761789740903885,0.899126219155885,0,0,0,0.0246948067537266,0,0,0,0,0,0.885068580993124,0.465398780359503
TCGA-CV-7247-01A,0.0910542006186078,0.828788152065138,0,0.076868380825142,0.00328926649111241,0,0,0,0,0,0,0.831798873981111,0.555019366039064
TCGA-CR-5249-01A,0.0677984939573108,0.546196545174588,0.00638038715490798,0,0.19209340642465,0.173233219166442,0,0,0.0142979481221014,0,0,0.574756316213639,0.826110626021331
TCGA-CQ-5331-01A,0.0321963717523571,0.898849817432417,0,0,0,0.0689538108152261,0,0,0,0,0,0.899174656144056,0.437721686517639
TCGA-BB-8601-01A,0.0140876757402871,0.985560220244394,0,0,0,0,0,0,0,0.000352104015318927,0,0.838768808589999,0.557799430160376
TCGA-CV-A45W-01A,0.118812539458334,0.683579243827426,0.0654253933975805,0,0.0127728612717369,0.102810232348123,0.0104496917614083,0,0.00615003793539079,0,0,0.748204398307099,0.663598104343583
TCGA-CQ-7063-01A,0.0119432258172046,0.950775789658929,0,0,0,0.0372809845238666,0,0,0,0,0,0.902841128870597,0.431100888450065
