Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
TCGA-BB-4224-01A,0.0235397677524919,0.879501648956548,0,0.00296386000514063,0.0439056468813864,0.0170527545607148,0.000571210587038415,0.011192142739076,0.0212729685176039,0,0,0.915145911958187,0.411290507770962
TCGA-H7-7774-01A,0,0.951025161556103,0,0,0,0.0489748384438973,0,0,0,0,0,0.813383883753796,0.626953727209139
TCGA-CV-6943-01A,0.0496872350793188,0.724606570422527,0,0,0,0.225706194498154,0,0,0,0,0,0.834448343591551,0.551403560034571
TCGA-CN-5374-01A,0,0.667789938672321,0.00052044136087937,0.00538964238354958,0.0914563250097999,0.185691399151773,0.0146693617060867,0,0.0344828917155905,0,0,0.704348986271745,0.723028574623626
TCGA-CQ-6227-01A,0.118915608750571,0.787707984303326,0,0.0394152977970811,0,0.0539611091490225,0,0,0,0,0,0.839677604905426,0.546006515302143
TCGA-CV-6959-01A,0.018886205197664,0.861928201873419,0,0.0307710404272605,0,0.0884145525016561,0,0,0,0,0,0.912550257028136,0.412615729369878
TCGA-F7-A61V-01A,0,0.933815117629604,0,0.0219125822032247,0.0283774653082468,0.0158948348589248,0,0,0,0,0,0.916139357718406,0.420177142662088
TCGA-CV-7413-01A,0.0445585724121239,0.88642194877267,0,0,0,0.0690194788152066,0,0,0,0,0,0.873277936886383,0.500468715539263
TCGA-CV-7247-01A,0.0659256768741413,0.826135918076882,0,0.0939987528745352,0,0.0139396521744418,0,0,0,0,0,0.839363930761069,0.551751030509654
TCGA-CR-5249-01A,0.0328363792378443,0.578182309325905,0,0,0.0626974343259494,0.323669555069064,0,0,0.0026143220412383,0,0.01,0.644696142211455,0.777129645409012
TCGA-CQ-5331-01A,0,0.822105209126145,0,0,0,0.177894790873855,0,0,0,0,0,0.875994282571843,0.486390117288075
TCGA-BB-8601-01A,0.00414900179892458,0.995850998201075,0,0,0,0,0,0,0,0,0,0.856161472299756,0.566679445950518
TCGA-CV-A45W-01A,0.0325974299490678,0.667330512384617,0.0295895962901014,0.000110249352989572,0.00776291957606942,0.247703605668394,0.00997553964833939,0,0.00493014713042169,0,0,0.779344807488569,0.627416043320182
TCGA-CQ-7063-01A,0.00881495064977116,0.833876440285397,0,0,0,0.157308609064832,0,0,0,0,0,0.887506020533144,0.464610305056354
TCGA-CN-5373-01A,0.0386404438116788,0.850942008360737,0,0,0,0.110417547827585,0,0,0,0,0,0.803113837337036,0.615435486247239
TCGA-CV-A45T-01A,0.0125938746487899,0.875059634222407,0,0.00286883317844969,0,0.109477657950353,0,0,0,0,0,0.882710118202161,0.479906193080926
TCGA-HD-A4C1-01A,0.0244982091741648,0.944039097889299,0,0,0,0.0314626929365364,0,0,0,0,0,0.908988263841365,0.43712538705052
TCGA-CV-7438-11A,0.0202045485585765,0.791089502358143,0,0.00301508692568449,0.0424616145501003,0.143229247607496,0,0,0,0,0,0.770353846758368,0.655243508586683
TCGA-CV-5444-01A,0.153774231402682,0.519286982850242,0,0.030884807420311,0,0.273483514276376,0.0225704640503885,0,0,0,0,0.735400622152262,0.677272122813733
TCGA-BA-5556-01A,0.00456889986205286,0.846009848944279,0,0,0,0.149421251193668,0,0,0,0,0,0.895841568180629,0.448616451410601
TCGA-P3-A6SX-01A,0.0428657452277625,0.929357721811897,0,0.0141927717301734,0,0,0,0.0135837612301673,0,0,0,0.81705307665144,0.613271968804329
TCGA-CV-7242-11A,0.0333097610876343,0.763638513944517,0,0.000309523964872885,0.0477213476532209,0.151924755852862,0.00302755646572147,0,0,6.85410311713793e-05,0,0.688691643694836,0.755198187700428
TCGA-DQ-7592-01A,0.0372047660805632,0.902959110121046,0,0.00769751392007786,0,0.0521386098783128,0,0,0,0,0,0.894624310753648,0.459698428812116
TCGA-CV-6937-01A,0.0427165775524848,0.804993695780856,4.36771630784082e-05,6.77099180163062e-05,0,0.152178339585564,0,0,0,0,0,0.898825649573529,0.438721131840919
TCGA-QK-A8ZB-01A,0.0705729591346962,0.889648205471988,0.00524881803794478,0,0,0.0345300173553713,0,0,0,0,0,0.87947045695644,0.488370732588661
TCGA-CV-7432-01A,0.00596195702970933,0.984753081343269,0,0,0,0.00928496162702217,0,0,0,0,0,0.913947195296928,0.438081700190202
TCGA-CV-7089-01A,0.00603214729430317,0.921080211860338,0,0,0,0.0613396310650946,0.0115480097802646,0,0,0,0,0.845991127903954,0.560979676882231
TCGA-CV-6939-11A,0.0851539640619367,0.00693271577446121,0.000131618759812673,0.787427685888651,0.0381937712753768,0.051335989367788,0.0308242548719733,0,0,0,0,0.752309846741307,0.65845220517009
