Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
TCGA-BB-4224-01A,0.0466591860136204,0.893099306790044,0.00117436485751946,0.00789084151598833,0.010490213674042,0,0,0.00577811212043426,0.0346150358096245,0.000292939218727564,0,0.908318744945583,0.473691036795661
TCGA-H7-7774-01A,0,0.98483314839913,0,0,0,0,0,0.00554973978867041,0.00924591074919304,0.000371201063006604,0,0.832555348849159,0.685787319186885
TCGA-CV-6943-01A,0.0992422105505526,0.80898984514298,0.00372928283411258,0,0,0.0577772555685932,0.0124698857902371,0.0169485741497503,0,0.000842945963773712,0,0.87509138278198,0.505478241734704
TCGA-CN-5374-01A,0.0624265970070861,0.469851385617858,0.0200251765364296,0.0328250003149635,0.250773735625604,0.110015813905682,0.0359519773952201,0.00314679084272336,0.0149835227544333,0,0.01,0.633654453032328,0.78321568294725
TCGA-CQ-6227-01A,0.119868519631365,0.747998484222984,0.0012451265011694,0.0892754361935705,0.0161381271414207,0.00960097583533462,0.0124932815428336,0.0027073399225454,0,0.000672709008776802,0,0.954683447258418,0.298929206304083
TCGA-CV-6959-01A,0.0268736880780932,0.888001113656726,0.00117963378015388,0.0641699461203206,0,0.00718140972308737,0.00477125482923823,0.00290508381833664,0.00471763275576491,0.000200237238279067,0,0.932325957154682,0.408213114677631
TCGA-F7-A61V-01A,0,0.829500220774058,0.00731353525148396,0.0215206777787706,0.124427100591856,0,0,0,0.017238465603832,0,0,0.933828545550217,0.404510117343491
TCGA-CV-7413-01A,0.0744024427315653,0.894530806531095,0.00333280374012716,0,0,0.0197075755567679,0,0,0.00731721469320799,0.000709156747236514,0,0.909882074944529,0.468344747172546
TCGA-CV-7247-01A,0.0676939971706524,0.775195952856256,0.0118329918024061,0.0999101516006517,0.0274626883418342,0.0154224011618929,0,0,0,0.00248181706630644,0,0.828490400110896,0.586071240576111
TCGA-CR-5249-01A,0.219433195203456,0.396282425170064,0.0724203814929674,0,0.145175562470819,0,0.0156160441756607,0.0915319124328852,0.0590891181087741,0.000451360945373944,0.02,0.494280059336685,0.878592642355273
TCGA-CQ-5331-01A,0.00565733561575359,0.937496943763286,0.0102146977996546,0,0,0.0456306634730559,0,0,0,0.00100035934825004,0,0.948279024524017,0.392905843447197
TCGA-BB-8601-01A,0.0374144524740497,0.926099284559369,0.00870232540463921,0.00128719571858345,0,0,0,0.0188758800931782,0.00644173503592594,0.00117912671425485,0,0.825997547301018,0.65707385475411
TCGA-CV-A45W-01A,0.12129390864676,0.611738825021643,0.189005296715081,0,0.0211841231557225,0.0561831643007288,0,0,0,0.000594682160064391,0,0.874513614940017,0.488327192751972
TCGA-CQ-7063-01A,0.0491522016757698,0.892367450343686,0.00489215537756701,0.00252851777021697,0,0.0457501947401565,0,0.00401040863402328,0,0.00129907145858026,0,0.92881195826133,0.418817758967775
TCGA-CN-5373-01A,0.0753232294195922,0.889132789091622,0,0,0,0.0134488587569511,0,0.0127476086976353,0.00910219110586409,0.000245322928335554,0,0.862778854843878,0.566849050533719
TCGA-CV-A45T-01A,0.0440886446238512,0.878059835070307,0.0117964547290647,0.012847124680723,0,0.0230296471105504,0.012708959729943,0.0170501331002395,0,0.000419200955321471,0,0.927771295026399,0.413917664366571
TCGA-HD-A4C1-01A,0.0421704870289509,0.868015282985222,0.00825921691850366,0.00224496496861484,0.0614892400115859,0,0,0.0169051975963037,0,0.00091561049081861,0,0.93996528357732,0.391582773587759
TCGA-CV-7438-11A,0.0448788696523788,0.73002919556803,0,0.00882898443393358,0.175803142786243,0,0,0.0314903022886931,0.00896950527072123,0,0,0.791242319605705,0.655714331678357
TCGA-CV-5444-01A,0.221344667615255,0.612407717685961,0,0.0622557814522835,0.0116942198147646,0.0844583991386314,0.00749644543971063,0,0.000342768853394774,0,0.01,0.739010201273804,0.67584694850573
TCGA-BA-5556-01A,0.0234352882875004,0.911978524356885,0.00220727659643853,0,0,0.0417680740417449,0.0126399861300352,0.00797085058739565,0,0,0,0.9194552220093,0.454732397930727
TCGA-P3-A6SX-01A,0.0660590393939631,0.881500934059793,0.00648438699038591,0.0285078945229903,0.0115252077813303,0.00489698318803711,0,0,0,0.00102555406349994,0,0.813190553213569,0.656496809302302
TCGA-CV-7242-11A,0.101441480610909,0.537804542548392,0.000818329762091479,0,0.321872299160752,0.0168701271282363,0,0.0159880684620256,0.00520515232759388,0,0.01,0.644877630516956,0.801503871466655
TCGA-DQ-7592-01A,0.0426150383531716,0.925447389983997,0,0.0127594019386397,0,0.00101968472474244,0,0.00728280962493745,0.010228923915903,0.000646751458608731,0,0.914604724916515,0.475585101409115
TCGA-CV-6937-01A,0.0823356928340668,0.811142474741023,0.0178102506006082,0,0.0543340361931928,0.0238617525406527,0,0,0.0104940824788697,2.17106115866824e-05,0,0.879028522117306,0.508781339195928
TCGA-QK-A8ZB-01A,0.0949825542309053,0.81962485269392,0.0289634107333353,0,0.0467936843448358,0.00907687206421911,0,0,0,0.00055862593278431,0,0.916644990801482,0.426364936511293
TCGA-CV-7432-01A,0,0.945718494878273,0.00571064980820389,0.00416800598318057,0.0431137009195757,0,0,0,0,0.00128914841076657,0,0.945570329687127,0.423750431276612
TCGA-CV-7089-01A,0.0630874773800865,0.794190088819864,0.000799591362364077,0,0.114225264928686,0.00663460170515298,0.0139663656344309,0.006179171089445,0,0.000917439079970525,0,0.854623629343784,0.562958275437872
TCGA-CV-6939-11A,0,0,0,0.822063957552884,0.0926882837639193,0.0659968108174135,0.0176965431362867,0,0,0.00155440472949606,0.01,0.671869201181,0.790484564347634
TCGA-BA-4075-01A,0.08041728246377,0.741228483579126,0.0144066848253659,0.0101415046484194,0.122312107201862,0,0,0,0.0307586488954683,0.000735288385988479,0,0.883833884717707,0.4850591569641
TCGA-T3-A92M-01A,0.122124582611343,0.817346156985208,0.014405098423874,0,0.00460154425988255,0.0411241410949997,0,0,0,0.000398476624692648,0,0.920624232895875,0.407558208350573
TCGA-BA-4078-01A,0.306632864446257,0.618441016760109,0.000547518663146511,0,0.0523381547339628,0.0097628197042187,0,0.00876650615362265,0.00351111953868313,0,0.01,0.722208408101283,0.701045317956001
TCGA-CV-7100-01A,0.177739620692754,0.59859617647151,0.00537674282167809,0,0.12450839564242,0.0861204737197884,0.00628874476761944,0,0.00136984588422985,0,0,0.878671778534132,0.477602831965609
TCGA-MZ-A7D7-01A,0.00239687453169366,0.773623096140647,0.00435052449100209,0.00259034311013687,0.204464244618219,0,0,0,0.0117474138889587,0.000827503219343418,0,0.937624690367387,0.385201494623418
TCGA-QK-A652-01A,0.0294337732090978,0.789903936537672,0,0.108084255987139,0.0599939624886321,0.0100040119103212,0,0,0.00190206834891182,0.000677991518225916,0,0.931206331668514,0.381199234742879
TCGA-CV-6433-01A,0.0389566503674577,0.694842965331539,0.0439627155754739,0.000935315468194726,0.0040828918313625,0.0943181507080724,0.0303330380094345,0.0229156718802777,0.0689800825390829,0.000672518289104152,0.01,0.732491727972535,0.69608841880572
TCGA-CV-7416-01A,0.128200228736534,0.82899233602551,0.00224251814790082,0,0,0.0293722490695097,0,0,0.0105814066852914,0.000611261335254089,0,0.793329898963558,0.659117255287322
TCGA-CV-A6JY-01A,0.00307495529143004,0.976382561971502,0.00783581153004367,0.0035660536059177,0,0,0,0,0.00745105864272169,0.00168955895838493,0,0.946109793355451,0.42976842343626
TCGA-CR-7399-01A,0.11513663750996,0.626966205652005,0.00471743367492549,0,0.0118299339515036,0.0933953248596689,0.000926580393818263,0.0452700444493278,0.10175783950879,0,0.01,0.675866757880991,0.747164240225356
TCGA-CV-7568-01A,0.118333326433807,0.79790207593053,0.00521781232837895,0.0545141513718242,0.000616831958188347,0.00911195581954173,0.00159190955604241,0.00125508716481218,0.0114093482616333,4.75011752413944e-05,0,0.767739643720722,0.684951939374927
TCGA-KU-A66S-01A,0.223705825114146,0.417128849812959,0.00486423350320313,0.0145809961238626,0.242113119730917,0.00763113089364373,0.0371374232139388,0.0191503092729811,0.00690303256108214,0.0267850797732661,0,0.78722809204987,0.619236536959471
TCGA-QK-A6VC-01A,0.105816333118244,0.452853305232485,0.0161672179622394,0,0.301717388064207,0,0.00600577165786357,0.0646982209183335,0.0527417630466272,0,0.01,0.688504221606001,0.728861404709539
TCGA-CN-6998-01A,0.0122765596626227,0.973096131184052,0.00312429927145471,0.0103828177513836,0,0,0,0.00045693774584308,0,0.000663254384643709,0,0.957958126142034,0.392107482636084
TCGA-CV-6941-01A,0.117559716946817,0.853798370510989,0.00171006802562705,0,0.00778273822134316,0.00512076887345602,0,0.00629946241220564,0.00730068186364162,0.000428193145920149,0,0.960677210188873,0.304578620745781
TCGA-CN-4727-01A,0.161429718587944,0.82265693947147,0.000314712451001244,0,0.0032737623827958,0,0,0,0.0122351433066734,8.97238001156248e-05,0,0.896317969214107,0.467556463251725
TCGA-BB-A5HY-01A,0.133592308895801,0.839293296096163,0.00326663790224701,0.00228744365357119,0,0,0,0.0209102372690178,0,0.000650076183200059,0,0.867575563945868,0.533333374973984
TCGA-CV-7263-01A,0.159843613526047,0.752279994412313,0.00645844539861789,0.0408520879925794,0,0.0162301395403532,0.00917611328630624,0.00714368022861415,0.00717151417997524,0.000844411435193789,0,0.868050813904155,0.504305508347237
TCGA-H7-A76A-01A,0.0843291907873491,0.549097862105613,0.0648747770265636,0,0.155822228891631,0.108539480364601,0,0.0298075179202756,0.00752894290396629,0,0,0.813093823847563,0.580937889731937
TCGA-CN-4723-01A,0.0946087747159747,0.773654275253469,0.0206396561957646,0,0.0423008713088951,0.0636243771162367,0.00145373736379807,0,0.00371830804586183,0,0,0.918626426790371,0.404422287765715
TCGA-CN-6997-01A,0.189619014890867,0.663033551959176,0.0216026005162091,0,0.086165572888032,0.00330055528891634,0.00705440737330796,0.0111220212613554,0.0167190990434542,0.00138317677868166,0,0.802562156511784,0.604100237802472
TCGA-CN-5364-01A,0.0766260843974188,0.782205397879997,0.00302739751405003,0.0372484007587108,0.021625868230152,0.0594372919880226,0,0,0.0190139977376217,0.000815561494026717,0.01,0.687222666878928,0.790286726035624
TCGA-CN-A63V-01A,0.103666275862209,0.862944326881259,0.0086718495683096,0.00292684001188215,0,0.00140056584121821,0,0.0194126350546454,0,0.000977506780475997,0,0.940903233781802,0.370234826850717
TCGA-CQ-5325-01A,0.063057769606738,0.758295350158307,0.0149053555867865,0.0840478809682221,0.00163822728101004,0.0442738939275962,0,0.03378152247134,0,0,0,0.900977335688653,0.438307526537911
TCGA-CR-7386-01A,0.203586555807101,0.688519289525287,0.000524802201486742,0.00288304656033144,0.0122593178937057,0.0880125085893327,0,0,0.0035630904837979,0.000651388938956758,0,0.765694245271075,0.654143084737326
TCGA-CX-A4AQ-01A,0.117657152243431,0.578441200164434,0.0293058524950236,0,0,0.186478220137142,0.0225154117282151,0.0496195005448209,0.0159826626869335,0,0.01,0.720953398625082,0.69183624404529
TCGA-QK-A64Z-01A,0.0372309757685571,0.950333422224846,0.0011100461841259,0.00057293262845342,0.00678106631817762,0,0,0,0.00350689167825193,0.000464665197588096,0,0.858976416074262,0.614674506737858
