"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BB-4224-01A",0,0,0.0351355117164097,0.0294416585833343,0,0,0.00385140615796299,0.0206624264020127,0.0204443360188322,0.890464661121448
"TCGA-H7-7774-01A",0,0,0.0201331465712569,0.00362888381333785,0.0234485662077741,0.000164662431652801,6.9265053959589e-06,0.0102950598507655,0.00759006275497232,0.934732691864845
"TCGA-CV-6943-01A",0.000149153337158121,0,0.117578559949286,0.13425297924386,0.155345379952005,0.000344933564621752,0.000471765482445549,0,0.0372973564217924,0.554559872048831
"TCGA-CN-5374-01A",0.000272614948850596,0.00194149091658892,0.0728844674485383,0.0359390820128988,0.0264315088143664,0,0.0115332210622625,0.0706164464640478,0.0683701518845538,0.712011016447893
"TCGA-CQ-6227-01A",0,0,0.0834164450808958,0.227518676129579,0.00890855356518057,0.000146804962301036,0.0576622462477993,0,0.0079486059948537,0.614398668019391
"TCGA-CV-6959-01A",0,0,0.071380661589653,0.0619072960414497,0.0274962997398328,5.80236752986206e-05,0.0595096111589881,0,0.020284994092267,0.759363113702511
"TCGA-F7-A61V-01A",0,0,0.0172829716762954,0.0109386693198869,0,0,0.0251210139211354,0.0838919439347978,0.00546924775658737,0.857296153391297
"TCGA-CV-7413-01A",0,0,0.0401039446645397,0.0853147433941642,0.0333688493354714,1.91455086520554e-06,0,0.0155380986136452,0.00839091959875583,0.817281529842559
"TCGA-CV-7247-01A",0,0,0.0438664799843676,0.0655887573928207,0,2.05368999852417e-06,0.0790447903951357,0,0.00203239081239439,0.809465527725283
"TCGA-CR-5249-01A",0.00038215431869331,4.63817078181891e-05,0.102625607502382,0.0947838681944895,0.094623273845507,0.000215952800516816,0,0.0346191073890225,0.095080305814037,0.577623348427534
"TCGA-CQ-5331-01A",0,0,0.0661746702373298,0.0183146328393595,0.102605411820088,0,0,0.00146557992440033,0.0191765829665039,0.792263122212318
"TCGA-BB-8601-01A",0.000175895028761667,0,0.0106854999917956,0.012434100566555,0,0.000233428610827865,0.000333286737914068,0.00193410493563228,0.00130575879074855,0.972897925337765
"TCGA-CV-A45W-01A",0.0437523863859696,0,0.0745014304036655,0.113945006162583,0.039269759291618,5.39438999221843e-05,0.00102898179238251,0.0081830474040367,0.0308202014602544,0.688445243199569
"TCGA-CQ-7063-01A",0,0,0.0654493436370062,0.021358496583829,0.109528475148887,8.77083683921775e-05,4.43825542413347e-05,0.025055135288523,0.0209696259369048,0.757506832482217
"TCGA-CN-5373-01A",0,0,0.087267102317157,0.11293195129378,0.0592868663363938,0.000278574432232228,0.00167836819180021,0.00275427972102228,0.0193710724110793,0.716431785296535
"TCGA-CV-A45T-01A",0,0,0.059836289568219,0.0779395338674694,0.0491360144894869,0.0001794956567599,0.0162725511150979,0.00350233692688461,0.0359911092672184,0.757142669108864
"TCGA-HD-A4C1-01A",0,0,0.0533145306697481,0.0639386683380603,0.000289254600413108,0,0,0.0292184631095576,0.0126203072114027,0.840618776070818
"TCGA-CV-7438-11A",0,0,0.0231609588456596,0.0376344757245738,0.0292453667631436,1.02880997660939e-05,0.00478823019481383,0.0530772910221967,0.0173190263210069,0.834764363028839
"TCGA-CV-5444-01A",0,0,0.140508271736418,0.199245452055767,0.12569646370206,0,0.055660486268493,0,0.0181992952740996,0.460690030963163
"TCGA-BA-5556-01A",0,0,0.0700616604277707,0.0302229620896462,0.105855569941927,9.7812992584755e-05,0,0,0.0296944826349913,0.76406751191308
"TCGA-P3-A6SX-01A",0,0,0.025923947361805,0.0597038015148202,0,2.76614632785826e-05,0.0182071828192288,0.000962965401977193,0.00643003355114369,0.888744407887747
"TCGA-CV-7242-11A",0,0,0.0390193429745301,0.084403015323494,0.0223465685421073,0,0.000677132326476781,0.118497304707306,0.0134484303781307,0.721608205747955
"TCGA-DQ-7592-01A",0,0,0.0494133450663587,0.0631190967768389,0.0037910789288055,3.88667875540723e-05,0.0178657842135063,0.000440986281993036,0.0355894648345786,0.829741377110365
"TCGA-CV-6937-01A",0,0,0.0602289642140793,0.1136860551675,0.0408368589292064,0,0.00136784439937845,0.00208626896607434,0.00542707769822928,0.776366930625532
"TCGA-QK-A8ZB-01A",0.00605500511450326,0,0.0585316734522343,0.104930755767404,0.000186077279910065,2.97715759325918e-05,0,0.0299664624530149,0.016420960044015,0.783879294312986
"TCGA-CV-7432-01A",0,0,0.0249627175937523,0.0117943288238791,0,3.64827995421031e-05,3.24150702982737e-05,0.00123481118598233,0.00463386062228604,0.95730538390426
"TCGA-CV-7089-01A",0,0,0.0780887839850461,0.022439764673127,0.00775885061133473,0.00021870327075726,7.90678194950772e-06,0.00872907468472951,0.0132344406065689,0.869522475386487
"TCGA-CV-6939-11A",0,0,0.0939861754269237,0.141192037045978,0.00721643740549001,0,0.684126286909017,0.0734790632125906,0,0
"TCGA-BA-4075-01A",0,0,0.032147786758642,0.0713692372124916,0.0192686810417738,0,0.0104475003394223,0,0.00327405810490582,0.863492736542764
"TCGA-T3-A92M-01A",0.000320974392241214,0,0.0493620636366742,0.162036494129153,0.040220180115188,3.23382800138268e-05,0,0.00464921762463467,0.0294045372872577,0.713974194534837
"TCGA-BA-4078-01A",1.51216921554099e-05,0,0.127154606713852,0.232926858413839,0.0127120649028543,4.26916613648431e-06,1.86213298025428e-05,0.004675736420616,0.0320652898067222,0.590427431554022
"TCGA-CV-7100-01A",0,0,0.154883028310832,0.109463668235855,0.0347720419355252,0,5.51389986151814e-05,0.00168147773630046,0.0295848977180967,0.669559747064776
