"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BB-4224-01A",0,0.000396484299016104,0.00791501683045466,0.0191240707811332,0.00351222296454888,7.13845790920725e-05,0.00559570080122229,0,0.00461695062189743,0.958768169122635
"TCGA-H7-7774-01A",0.000687868696543111,0.00112404663618508,0.00322289570035418,0.000410046971230702,0.00972765862053856,0.000214895162127355,2.16364914945407e-05,0.00879018004946831,0.00228558805219498,0.973515183619863
"TCGA-CV-6943-01A",0.0116382132397004,0.00135612114055831,0.0239241459288714,0.111994251122229,0.111859930384037,0.000535287453557863,0.00126365708699967,6.44852621375491e-05,0.00126845884361578,0.736095449538294
"TCGA-CN-5374-01A",0.00886304770231065,0.00527245509952487,0.0193303009968727,0.0162998244390461,0.0417025881414318,0.000260703554053914,0.0165981775857672,0.000921454995715144,0.00574127487473005,0.885010172610548
"TCGA-CQ-6227-01A",9.23094078680257e-05,0,0.0255472565180601,0.185134693470834,0.0129437757867245,0.000251583834021058,0.073793794505565,0,0,0.702236586476928
"TCGA-CV-6959-01A",0.00275831814693198,0,0.0227415257194979,0.0461536779312747,0.0315342684443812,0.000170608940313747,0.0824098235294034,0,0,0.814231777288197
"TCGA-F7-A61V-01A",0.000815454506984191,0,0.00771497866166519,0.00257524031508905,0,0,0.0300447569696557,0.0565838330992909,0,0.902265736447315
"TCGA-CV-7413-01A",0.000292895024196554,8.0110978155135e-05,0.00743619457693108,0.0682890465855231,0.0301911810837412,0.000107942961691974,0,0,0,0.893602628789761
"TCGA-CV-7247-01A",0,0,0.0208384234437892,0.0424696568636201,0,1.49167253523785e-05,0.0731226129179523,0,0.000163397957248859,0.863390992092037
"TCGA-CR-5249-01A",0.0189400175680224,0.00993619857268132,0.0204470852597022,0.0674722875912539,0.129776062700454,0.00102889342313841,7.64056527108362e-06,0.00295484073679132,0.00191108881538072,0.747525884767304
"TCGA-CQ-5331-01A",0.00144241571887442,0.0011819658773189,0.020571294643516,0.0195213719697277,0.0566290786980673,7.70211382978925e-05,0,0.000150309279775295,0,0.900426542674422
"TCGA-BB-8601-01A",0.00240611788108752,0,0.00518565842076683,0.00753835975752396,0,0.000362911498657553,0,0,0,0.984506952441964
"TCGA-CV-A45W-01A",0.0627548676005251,0.001470597251406,0.0359918860147972,0.0700572750587887,0.0612634329148467,0.000278254339279864,0.000169067151675386,0,0,0.768014619668681
"TCGA-CQ-7063-01A",0,0.000702098899500646,0.0109375985820229,0.0134460781725598,0.0654643274252362,0.000305914789520027,0.000114861423939166,0,0,0.909029120707221
"TCGA-CN-5373-01A",0.000509000572407725,0.00298572521340042,0.0103682199527074,0.0621665726543349,0.0339292342585852,0.000353704929207258,0.00257014334205012,0.0153018965379207,0.000163961630806611,0.87165154090858
"TCGA-CV-A45T-01A",0.00722806850162132,0.00208106347792654,0.0240700415987228,0.063532757322293,0.0502170025505536,0.000300376290669044,0.0238189379019999,0.00445298740670829,3.09567233797144e-05,0.824267808226126
