"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BB-4224-01A",0,0.000376268002476553,0.00983563970307395,0.0150784187139632,0.00482283391274732,8.01005514863307e-05,0.00434250967916448,0,0.00238536459214957,0.963078864844939
"TCGA-H7-7774-01A",0.000518387716084911,0.00040785353691782,0.00718212654164308,0,0.00419679708155836,0.000246378926440214,0,0,0.00286844226388501,0.984580013933471
"TCGA-CV-6943-01A",0.00919973897423814,0.00103635259840136,0.0263175588531477,0.091175369839203,0.138284448519627,0.000386326349947719,0.000935463681023165,0,0,0.732664741184412
"TCGA-CN-5374-01A",0.00709360051250443,0.00308237793772986,0.0265980598540348,0.0125777727356404,0.0412120703607694,0.000216266130229526,0.0160181620527047,0,0,0.893201690416387
"TCGA-CQ-6227-01A",7.56096384028031e-05,0,0.0334819256772811,0.174392565535909,0.00879886374052656,0.000243228056808643,0.0508906600587769,0,0,0.732117147292295
"TCGA-CV-6959-01A",0.00216039531238958,0,0.0250580790525147,0.0276239780317383,0.0191181929593538,0.000146340212457184,0.0555737621256522,0,0.00154466758484709,0.868774584721047
"TCGA-F7-A61V-01A",0.000753525418543497,0,0.00820268225192747,0.00263697143684182,0.000151315111814866,0,0.0237299145512683,0.024197656991774,0.00219225535105787,0.938135678886772
"TCGA-CV-7413-01A",0.000129408478386749,0,0.0119298288876426,0.0576848373817514,0.0179792451426036,8.50964021743523e-05,0,0,0,0.912191583707441
"TCGA-CV-7247-01A",0,0,0.0178909367322035,0.0340576092528105,0,0.000143528077423403,0.0563668207655819,0,0.000920547529427284,0.890620557642553
"TCGA-CR-5249-01A",0.0120877012817008,0.0085299389840157,0.033086621280283,0.0251303272657204,0.1217476046996,0.000578978026603059,2.41704356856866e-06,0,0,0.798836411418509
"TCGA-CQ-5331-01A",0.00119249876983819,0,0.0245559608244169,0.0151843676009733,0.0923941429529166,6.33241882364836e-05,0,0,0,0.866609705663619
"TCGA-BB-8601-01A",0.00256855389447875,0,0.00835176691635837,0.0085471949163605,0,0.000411783947053149,0,0,0,0.980120700325749
