"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BB-4224-01A",0,0,0,0,0,0,0,0,0.0289398709959081,0.971060129004092
"TCGA-H7-7774-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6943-01A",0,0,0,0,0.0176625186981844,0,0,0,0,0.982337481301816
"TCGA-CN-5374-01A",0,0,0.0309722610516823,0,0.186768125434044,0,0,0,0.0459294128095313,0.736330200704742
"TCGA-CQ-6227-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6959-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-F7-A61V-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7413-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7247-01A",0,0,0,0,0,0,0.0353388063520073,0,0,0.964661193647993
"TCGA-CR-5249-01A",0,0,0,0,0.195479141692561,0,0.0633257153739821,0,0,0.741195142933457
"TCGA-CQ-5331-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BB-8601-01A",0,0,0,0,0,0,0.0307897650501528,0,0,0.969210234949847
"TCGA-CV-A45W-01A",0,0,0,0.0579724985125165,0.172578065046774,0,0.171994359362969,0,0,0.59745507707774
"TCGA-CQ-7063-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CN-5373-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-A45T-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-HD-A4C1-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7438-11A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-5444-01A",0,0,0,0,0.224575074944539,0,0,0,0.00307819438029974,0.772346730675161
"TCGA-BA-5556-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-P3-A6SX-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7242-11A",0,0,0,0,0.0417448156646441,0,0.0573294401346689,0.137542087242067,0,0.76338365695862
"TCGA-DQ-7592-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6937-01A",0,0,0,0,0.135310951780183,0,0,0,0,0.864689048219817
"TCGA-QK-A8ZB-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7432-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7089-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6939-11A",0,0,0,0,0,0,1,0,0,0
"TCGA-BA-4075-01A",0,0,0,0.0111461315142186,0.0894658044897564,0,0.102858428366519,0,0,0.796529635629506
"TCGA-T3-A92M-01A",0,0,0,0.0313854273408645,0.0736506984018571,0,0,0,0,0.894963874257278
"TCGA-BA-4078-01A",0,0,0,0,0.128499939805007,0,0,0,0,0.871500060194993
"TCGA-CV-7100-01A",0,0,0.128551759417773,0.107333583504546,0.130895390097756,0,0.0823027286387317,0,0,0.550916538341193
"TCGA-MZ-A7D7-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-QK-A652-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6433-01A",0,0,0,0,0.562148010576231,0,0,0,0,0.437851989423769
"TCGA-CV-7416-01A",0,0,0,0,0.0355418089599952,0,0,0,0.00385452507552879,0.960603665964476
"TCGA-CV-A6JY-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-7399-01A",0,0,0,0,0.429881171346995,0,0.00860176936702964,0,0.00206452726254005,0.559452532023436
"TCGA-CV-7568-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-KU-A66S-01A",0,0,0.142570007138529,0,0.136357921089206,0.00303706014576844,0.0681713535097618,0,0.00835573713197601,0.641507920984758
