"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BB-4224-01A",0,0,0,0,0,0,0,0.0233089319475872,0,0.976691068052413
"TCGA-H7-7774-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6943-01A",0,0,0,0,0.0400331960441855,0,0,0,0,0.959966803955815
"TCGA-CN-5374-01A",0,0,0,0,0.146027408558384,0,0.08821395515984,0.00877650223039749,0,0.756982134051378
"TCGA-CQ-6227-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6959-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-F7-A61V-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7413-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7247-01A",0,0,0,0,0,0,0.0210048769322082,0,0,0.978995123067792
"TCGA-CR-5249-01A",0,0,0,0,0.158936523165094,0,0.0599753654386206,0,0,0.781088111396285
"TCGA-CQ-5331-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BB-8601-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-A45W-01A",0.0685308608099629,0,0,0,0.0994135229088762,0,0.179639226430201,0,0,0.65241638985096
"TCGA-CQ-7063-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CN-5373-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-A45T-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-HD-A4C1-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7438-11A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-5444-01A",0,0,0,0.23396356690045,0.100146218721817,0,0,0,0,0.665890214377733
"TCGA-BA-5556-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-P3-A6SX-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7242-11A",0,0,0,0,0.00141136660026077,0,0.0407464034131503,0.145896735728796,0,0.811945494257793
"TCGA-DQ-7592-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6937-01A",0,0,0,0,0.0341512313083224,0,0.0423148639978939,0,0,0.923533904693784
"TCGA-QK-A8ZB-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7432-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7089-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6939-11A",0,0,0,0,0,0,1,0,0,0
"TCGA-BA-4075-01A",0,0,0,0,0,0,0.0269025535177408,0,0,0.973097446482259
"TCGA-T3-A92M-01A",0,0,0,0.0617604798700408,0.0190589753198139,0,0,0,0,0.919180544810145
"TCGA-BA-4078-01A",0,0,0,0.234893382943404,0,0,0,0,0,0.765106617056596
"TCGA-CV-7100-01A",0,0,0,0.176763485412601,0.104532706843082,0,0.0826994702274064,0.107505890774776,0,0.528498446742135
"TCGA-MZ-A7D7-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-QK-A652-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6433-01A",0,0,0,0,0.398387386077888,0,0.088447124895147,0,0,0.513165489026965
"TCGA-CV-7416-01A",0,0,0,0.0036296400460907,0,0,0,0.147189474198894,0,0.849180885755015
"TCGA-CV-A6JY-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-7399-01A",0,0,0,0,0.30426166108498,0,0.150792188010099,0,0,0.544946150904921
"TCGA-CV-7568-01A",0,0,0,0,0,0,0,0.0836535466856798,0,0.91634645331432
"TCGA-KU-A66S-01A",0.0160739648302287,0.00691287112931064,0.00637785771775519,0.173518887275326,0.0358745429583,0.0023306622660146,0.202591295835457,0.0150990206848926,0,0.541220897302715
"TCGA-QK-A6VC-01A",0,0,0,0,0.145490822989915,0,0.0213527123756933,0.205030476229087,0,0.628125988405305
"TCGA-CN-6998-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6941-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CN-4727-01A",0,0,0,0,0,0,0.0988252531543597,0,0,0.90117474684564
"TCGA-BB-A5HY-01A",0,0,0,0,0,0,0.0652930020114263,0,0,0.934706997988574
"TCGA-CV-7263-01A",0,0,0,0.135802065642698,0.0197273377114703,0,0.0263449253923007,0,0,0.818125671253531
"TCGA-H7-A76A-01A",0,0,0,0.0208636173577645,0.23408831117066,0,0,0,0,0.745048071471576
"TCGA-CN-4723-01A",0,0,0,0,0.00081883382178762,0,0.078546338334105,0,0,0.920634827844107
"TCGA-CN-6997-01A",0,0,0,0,0,0,0.118801861707512,0,0,0.881198138292488
"TCGA-CN-5364-01A",0,0,0,0,0.0070551701236125,0,0.071731605155609,0.00661367312996845,0,0.91459955159081
"TCGA-CN-A63V-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-5325-01A",0,0,0,0,0.0265831969227446,0,0,0.00642670829584998,0,0.966990094781405
"TCGA-CR-7386-01A",0,0,0,0,0,0,0,0.0925309698052976,0,0.907469030194702
"TCGA-CX-A4AQ-01A",0,0,0,0,0.514823524875208,0,0.0819335104740217,0,0,0.403242964650771
"TCGA-QK-A64Z-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BB-4225-01A",0,0,0,0,0.272545720332903,0,0.0150211126640935,0,0,0.712433167003003
"TCGA-CV-7183-11A",0,0,0,0,0,0.00428371214325009,0.11250177477132,0.347069395367374,0,0.536145117718055
"TCGA-T2-A6WZ-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-HD-8314-01A",0,0,0,0,0.195062665022707,0,0.358842060249503,0,0,0.44609527472779
